Option,cost 1,Multiplier 1,cost 2,Multiplier 2,Source for cost 1,Source for cost 2
Insulate ceiling to R-30,0.057401991,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.258114595,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-49,0.057401991,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.258114595,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-60,0.057401991,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.258114595,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Reduce infiltration by 30%,0.647878,"Floor Area, Conditioned",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts a lot to have 10% leakage and R-8 ducts,3.67994704,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts a lot to have 10% leakage, already has R-8 insulation",1.34758624,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts some to have 10% leakage and R-8 ducts,3.00615392,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts some to have 10% leakage, already has R-8 insulation",0.67379312,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Only insulate ducts to R-8, no sealing",2.3323608,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Drill and fill insulation to R-13 on walls that have no insulation,2.90249344,"Wall Area, Above-Grade, Conditioned (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate interior foundation wall to R-10,5.183024,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
