Option,cost 1,Multiplier 1,cost 2,Multiplier 2,Source for cost 1,Source for cost 2
Insulate ceiling to R-30,0.059159195,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.266016062,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-49,0.059159195,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.266016062,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-60,0.059159195,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.266016062,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Reduce infiltration by 30%,0.667711,"Floor Area, Conditioned",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts a lot to have 10% leakage and R-8 ducts,3.79259848,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts a lot to have 10% leakage, already has R-8 insulation",1.38883888,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts some to have 10% leakage and R-8 ducts,3.09817904,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts some to have 10% leakage, already has R-8 insulation",0.69441944,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Only insulate ducts to R-8, no sealing",2.4037596,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Drill and fill insulation to R-13 on walls that have no insulation,2.99134528,"Wall Area, Above-Grade, Conditioned (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate interior foundation wall to R-10,5.341688,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate interior finished basement wall to R-10,6.08952432,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate exterior rim joist to R-10,3.09817904,"Rim Joist Area, Above-Grade, Exterior (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Seal vented crawlspaces,1.446262026,"Floor Area, Foundation (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
insulate finished attics and cathedral ceilings to R-30,7.39823788,Roof Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Air Source Heat Pump with SEER 15 and 9.0 HSPF,5217.507108,Fixed,207.2174317,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with SEER 15 and 9.0 HSPF max load,3301.964437,Fixed,427.8959172,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted minisplit heat pump with SEER 24 and 13 HSPF,20071.92683,Fixed,207.2174317,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted heat pump,20071.92683,Fixed,207.2174317,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with SEER 29.3 and 14.0 HSPF max load,3766.718002,Fixed,490.3936668,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with electric baseboard heating back up,3301.964437,Fixed,427.8959172,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with electric boiler heating back up,3301.964437,Fixed,427.8959172,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplt heat pump with wall furnace heating back up,3301.964437,Fixed,427.8959172,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Upgrade existing minisplit heat pump,3301.964437,Fixed,427.8959172,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted and dual fuel backup gas furnace with 60% AFUE,5217.507108,Fixed,207.2174317,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Shared air source heat pump with fossil fuel back up,5217.507108,Fixed,207.2174317,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
50 gallon water heater,2994.016124,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
66 gallon water heater,4123.783136,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon water heater,5111.995416,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
50 gallon heat pump water heater,2994.016124,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
66 gallon heat pump water heater,4123.783136,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
