Option,cost 1,Multiplier 1,cost 2,Multiplier 2,Source for cost 1,Source for cost 2
Insulate ceiling to R-30,0.04,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.971,"Floor Area, Attic ",Local cost,Local cost
Insulate ceiling to R-49,0.076731233,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.345030734,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Insulate ceiling to R-60,0.076731233,"Floor Area, Attic * Insulation Increase (ft^2 * Delta R-value)",0.345030734,"Floor Area, Attic ",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Reduce infiltration by 30%,1.8,"Floor Area, Conditioned",NA,NA,Local cost,NA
Insulate and seal ducts a lot to have 10% leakage and R-8 ducts,4.91911288,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts a lot to have 10% leakage, already has R-8 insulation",1.80136528,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate and seal ducts some to have 10% leakage and R-8 ducts,4.01843024,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Seal ducts some to have 10% leakage, already has R-8 insulation",0.90068264,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
"Only insulate ducts to R-8, no sealing",3.1177476,Duct Unconditioned Surface Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Drill and fill insulation to R-13 on walls that have no insulation,4.5,"Wall Area, Above-Grade, Conditioned (ft^2)",NA,NA,Local cost,NA
Insulate interior foundation wall to R-10,6.928328,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate interior finished basement wall to R-10,7.89829392,"Wall Area, Below-Grade (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Insulate exterior rim joist to R-10,4.01843024,"Rim Joist Area, Above-Grade, Exterior (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
Seal vented crawlspaces,1.875844806,"Floor Area, Foundation (ft^2)",NA,NA,EUSS default costs with local/inflation multipliers,NA
insulate finished attics and cathedral ceilings to R-30,9.59573428,Roof Area (ft^2),NA,NA,EUSS default costs with local/inflation multipliers,NA
Air Source Heat Pump with SEER 15 and 9.0 HSPF,6767.261695,Fixed,268.7671639,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with SEER 15 and 9.0 HSPF max load,1148,Fixed,146,"Size, Heating System Primary (kBtu/h)",Local cost,Local cost
Ducted minisplit heat pump with SEER 24 and 13 HSPF,26033.88529,Fixed,268.7671639,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted heat pump,26033.88529,Fixed,268.7671639,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with SEER 29.3 and 14.0 HSPF max load,4885.545131,Fixed,636.055152,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with electric baseboard heating back up,4282.745953,Fixed,554.9937144,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplit heat pump with electric boiler heating back up,4282.745953,Fixed,554.9937144,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Minisplt heat pump with wall furnace heating back up,4282.745953,Fixed,554.9937144,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Upgrade existing minisplit heat pump,1148,Fixed,104,"Size, Heating System Primary (kBtu/h)",Local cost,Local cost
