Time,Heating:Electricity  [kwh],Heating:Gas  [kbtu],Cooling:Electricity  [kwh],InteriorLights:Electricity  [kwh],ExteriorLights:Electricity  [kwh],InteriorEquipment:Electricity  [kwh],InteriorEquipment:Gas  [kbtu],Fans:Electricity  [kwh],Pumps:Electricity  [kwh],WaterSystems:Electricity  [kwh],WaterSystems:Gas  [kbtu],WaterSystems:Water  [gal],Electricity:Facility  [kwh],Gas:Facility  [kbtu],Water:Facility  [gal]
2009/01/01 01:00:00,0.0,0.0,0.124,0.027,0.003,0.66,0.032,0.072,0.03,0.0,0.0,0.0,0.916,0.032,0.0
2009/01/01 02:00:00,0.0,0.0,0.105,0.016,0.002,0.618,0.021,0.062,0.03,0.0,0.0,0.0,0.832,0.021,0.0
2009/01/01 03:00:00,0.0,0.0,0.098,0.011,0.001,0.607,0.017,0.057,0.03,0.0,1.103,0.0,0.805,1.12,0.0
2009/01/01 04:00:00,0.0,0.0,0.098,0.011,0.001,0.592,0.017,0.055,0.03,0.0,0.0,0.0,0.788,0.017,0.0
2009/01/01 05:00:00,0.0,0.0,0.098,0.012,0.001,0.563,0.025,0.05,0.03,0.0,1.103,0.0,0.755,1.128,0.0
2009/01/01 06:00:00,0.0,0.0,0.098,0.033,0.004,0.616,0.037,0.051,0.03,0.0,0.0,0.0,0.832,0.037,0.0
2009/01/01 07:00:00,0.0,0.0,0.037,0.077,0.009,0.758,0.052,0.019,0.03,0.0,1.103,0.0,0.93,1.155,0.0
2009/01/01 08:00:00,0.0,0.0,0.164,0.098,0.012,0.832,0.068,0.113,0.03,0.0,11.387,28.029,1.249,11.455,28.029
2009/01/01 09:00:00,0.0,0.0,0.117,0.104,0.012,0.694,0.099,0.065,0.028,0.0,2.854,0.0,1.021,2.953,0.0
2009/01/01 10:00:00,0.0,0.0,0.104,0.107,0.013,0.575,0.127,0.06,0.03,0.0,0.0,0.0,0.89,0.127,0.0
2009/01/01 11:00:00,0.0,0.0,0.116,0.104,0.012,0.576,0.132,0.067,0.03,0.0,1.103,0.0,0.904,1.235,0.0
2009/01/01 12:00:00,0.0,0.0,0.056,0.1,0.012,0.625,0.128,0.025,0.03,0.0,0.0,0.0,0.848,0.128,0.0
2009/01/01 13:00:00,0.0,0.0,0.12,0.097,0.012,0.611,0.125,0.07,0.03,0.0,1.103,0.0,0.94,1.228,0.0
2009/01/01 14:00:00,0.0,0.0,0.133,0.096,0.012,0.623,0.1,0.077,0.03,0.0,0.0,0.0,0.97,0.1,0.0
2009/01/01 15:00:00,0.0,0.0,0.145,0.097,0.012,0.732,0.093,0.088,0.03,0.0,1.159,1.346,1.105,1.252,1.346
2009/01/01 16:00:00,0.0,0.0,0.133,0.104,0.013,0.681,0.09,0.077,0.03,0.0,1.103,0.443,1.038,1.193,0.443
2009/01/01 17:00:00,0.0,0.0,0.141,0.125,0.015,0.852,0.101,0.082,0.03,0.0,0.0,0.0,1.246,0.101,0.0
2009/01/01 18:00:00,0.0,0.0,0.148,0.166,0.02,1.14,0.106,0.119,0.03,0.0,1.103,0.0,1.623,1.209,0.0
2009/01/01 19:00:00,0.0,0.0,0.217,0.208,0.025,1.197,0.084,0.163,0.03,0.0,8.529,16.661,1.84,8.612,16.661
2009/01/01 20:00:00,0.0,0.0,0.212,0.219,0.026,1.136,0.074,0.158,0.03,0.0,9.205,18.735,1.78,9.28,18.735
2009/01/01 21:00:00,0.0,0.0,0.195,0.187,0.022,1.134,0.066,0.142,0.03,0.0,0.0,0.0,1.711,0.066,0.0
2009/01/01 22:00:00,0.0,0.0,0.184,0.142,0.017,1.086,0.062,0.136,0.03,0.0,1.103,0.0,1.596,1.165,0.0
2009/01/01 23:00:00,0.0,0.0,0.161,0.122,0.015,0.932,0.051,0.124,0.03,0.0,0.0,0.0,1.384,0.051,0.0
2009/01/02 00:00:00,0.0,0.0,0.15,0.054,0.007,0.799,0.044,0.089,0.03,0.0,1.103,0.0,1.128,1.147,0.0
2009/01/02 01:00:00,0.0,0.0,0.125,0.027,0.003,0.66,0.032,0.072,0.03,0.0,0.0,0.0,0.917,0.032,0.0
2009/01/02 02:00:00,0.0,0.0,0.108,0.016,0.002,0.618,0.021,0.063,0.03,0.0,1.103,0.0,0.837,1.124,0.0
2009/01/02 03:00:00,0.0,0.0,0.1,0.011,0.001,0.607,0.017,0.059,0.03,0.0,0.0,0.0,0.808,0.017,0.0
