Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=Asphalt Shingles, Medium	Option=Composition Shingles	Option=Metal, Dark	Option=Slate	Option=Tile, Clay or Ceramic	Option=Tile, Concrete	Option=Wood Shingles	sampling_probability
Mobile Home	CR11	0.160181	0.211763	0.520266	0.027063	0	0	0.080726	0.0071432
Multi-Family with 2 - 4 Units	CR11	0.087029	0.513843	0	0.033284	0.144638	0.011051	0.210155	0.0896554
Multi-Family with 5+ Units	CR11	1	0	0	0	0	0	0	0.469413
Single-Family Attached	CR11	0.092543	0.451746	0	0.013691	0.249318	0.087758	0.104944	0.0583364
Single-Family Detached	CR11	0.085715	0.54863	0.014499	0.025704	0.166869	0.059706	0.098877	0.375452
# Created by: sources\recs\2009\tsv_maker.py (manually collapsed from Roof Material Unfinished Attic and Roof Material Finished Roof)
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Downselected: This characteristic was downselected from project_national.
