Dependency=Vacancy Status	Option=None	Option=Standard Efficiency	Option=Standard Efficiency, No usage	sampling_probability
Occupied	0.28	0.72	0	0.937768
Vacant	0.28	0	0.72	0.0622324
# Source: Wilson et al. 'Building America House Simulation Protocols' 2014, national average used as saturation
# Assumption: If the unit is vacant there is no ceiling fan energy
