Dependency=Income	Dependency=Occupants	Option=0-100%	Option=100-150%	Option=150-200%	Option=200-300%	Option=300-400%	Option=400%+	source_count	source_weight	sampling_probability
10000-14999	1	0.524434	0.475566	0	0	0	0	170203	3.30195e+06	0.030253
10000-14999	10+	1	0	0	0	0	0	70	1406	7.29701e-06
10000-14999	2	1	0	0	0	0	0	50718	1.01309e+06	0.0128987
10000-14999	3	1	0	0	0	0	0	17850	407942	0.00622545
10000-14999	4	1	0	0	0	0	0	10462	250311	0.0046155
10000-14999	5	1	0	0	0	0	0	4956	117625	0.0022664
10000-14999	6	1	0	0	0	0	0	1956	47753	0.000938935
10000-14999	7	1	0	0	0	0	0	621	14986	0.00027803
10000-14999	8	1	0	0	0	0	0	254	5821	7.03678e-05
10000-14999	9	1	0	0	0	0	0	97	2144	3.77581e-05
100000-119999	1	0	0	0	0	0	1	52798	1.05344e+06	0.0151159
100000-119999	10+	0	1	0	0	0	0	871	17178	0.000259933
100000-119999	2	0	0	0	0	0	1	194086	3.45373e+06	0.0245991
100000-119999	3	0	0	0	0	0	1	93358	1.7966e+06	0.0122686
100000-119999	4	0	0	0	0	0.161823	0.838177	79332	1.58672e+06	0.00957088
100000-119999	5	0	0	0	0	1	0	34358	703116	0.00504862
100000-119999	6	0	0	0	0.220755	0.779245	0	12879	270916	0.00209509
100000-119999	7	0	0	0	0.871553	0.128447	0	4785	100298	0.00100249
100000-119999	8	0	0	0	1	0	0	1959	41548	0.000466376
100000-119999	9	0	0	0	1	0	0	864	17784	0.000260432
120000-139999	1	0	0	0	0	0	1	29889	591519	0.00990731
120000-139999	10+	0	1	0	0	0	0	747	14699	0.00023099
120000-139999	2	0	0	0	0	0	1	134127	2.39583e+06	0.0188667
120000-139999	3	0	0	0	0	0	1	69556	1.32586e+06	0.00901201
120000-139999	4	0	0	0	0	0	1	62697	1.25533e+06	0.00782998
120000-139999	5	0	0	0	0	0.0308386	0.969161	26633	544902	0.00322285
120000-139999	6	0	0	0	0	0.927816	0.0721841	10063	211016	0.0015615
120000-139999	7	0	0	0	0	1	0	3636	74512	0.000718269
120000-139999	8	0	0	0	0.548555	0.451445	0	1485	31047	0.000317674
120000-139999	9	0	0	0	1	0	0	659	13617	0.000155158
140000-159999	1	0	0	0	0	0	1	18864	369020	0.00570553
140000-159999	10+	0	0.230002	0.769998	0	0	0	566	11226	0.00015784
140000-159999	2	0	0	0	0	0	1	94684	1.69316e+06	0.0155515
140000-159999	3	0	0	0	0	0	1	51521	980153	0.00743982
140000-159999	4	0	0	0	0	0	1	48595	966170	0.00622884
140000-159999	5	0	0	0	0	0	1	20059	404530	0.00215827
140000-159999	6	0	0	0	0	0	1	7513	152847	0.000894346
140000-159999	7	0	0	0	0	0.836862	0.163138	2735	55309	0.000410593
140000-159999	8	0	0	0	0	1	0	1181	23469	0.00023953
140000-159999	9	0	0	0	0.183248	0.816752	0	528	10303	0.000106929
15000-19999	1	0	0.776966	0.223034	0	0	0	155087	2.92375e+06	0.0236649
15000-19999	10+	1	0	0	0	0	0	108	2146	6.33689e-06
15000-19999	2	0.375049	0.624951	0	0	0	0	63977	1.25441e+06	0.010338
15000-19999	3	1	0	0	0	0	0	21440	495008	0.00494797
15000-19999	4	1	0	0	0	0	0	13516	322485	0.00365953
15000-19999	5	1	0	0	0	0	0	6483	160060	0.00181452
15000-19999	6	1	0	0	0	0	0	2586	63148	0.000766188
15000-19999	7	1	0	0	0	0	0	934	22773	0.000223866
15000-19999	8	1	0	0	0	0	0	337	7650	5.75914e-05
15000-19999	9	1	0	0	0	0	0	140	3239	3.39032e-05
160000-179999	1	0	0	0	0	0	1	12475	243418	0.0040007
160000-179999	10+	0	0	1	0	0	0	457	8610	0.000122648
160000-179999	2	0	0	0	0	0	1	68220	1.22142e+06	0.0113853
160000-179999	3	0	0	0	0	0	1	37727	718768	0.00565025
160000-179999	4	0	0	0	0	0	1	36525	716651	0.00491631
160000-179999	5	0	0	0	0	0	1	15065	300956	0.00168981
160000-179999	6	0	0	0	0	0	1	5520	112308	0.000697659
160000-179999	7	0	0	0	0	0	1	2083	42018	0.000315566
160000-179999	8	0	0	0	0	0.731457	0.268543	931	19293	0.00018303
160000-179999	9	0	0	0	0	1	0	421	8980	8.17702e-05
180000-199999	1	0	0	0	0	0	1	7630	144947	0.00279115
180000-199999	10+	0	0	0.609949	0.390051	0	0	372	7217	9.42355e-05
180000-199999	2	0	0	0	0	0	1	48902	868688	0.00829617
