Dependency=HVAC Heating Efficiency	Dependency=HVAC System Is Faulted	Option=None	sampling_probability
ASHP, SEER 10, 6.2 HSPF	No	1	0.00315278
ASHP, SEER 13, 7.7 HSPF	No	1	0.0321103
ASHP, SEER 15, 8.5 HSPF	No	1	0.00822412
Electric Baseboard, 100% Efficiency	No	1	0.0751482
Electric Boiler, 100% AFUE	No	1	0.00127827
Electric Furnace, 100% AFUE	No	1	0.121963
Electric Wall Furnace, 100% AFUE	No	1	0.0015298
Fuel Boiler, 76% AFUE	No	1	0.0107205
Fuel Boiler, 80% AFUE	No	1	0.0724088
Fuel Boiler, 90% AFUE	No	1	0.000209299
Fuel Furnace, 60% AFUE	No	1	0.00383711
Fuel Furnace, 76% AFUE	No	1	0.0317938
Fuel Furnace, 80% AFUE	No	1	0.213669
Fuel Furnace, 92.5% AFUE	No	1	0.103221
Fuel Wall/Floor Furnace, 60% AFUE	No	1	0.0299582
Fuel Wall/Floor Furnace, 68% AFUE	No	1	0.060113
None	No	1	0.0713066
Other	No	1	0.00478364
Shared Heating	No	1	0.154573
Void	No	1	0
# Created by: manually created
# Source: Winkler et al. 'Impact of installation faults in air conditioners and heat pumps in single-family homes on US energy usage' 2020
# Downselected: This characteristic was downselected from project_national.
