Dependency=Heating Fuel	Dependency=Location Region	Dependency=Usage Level	Option=Gas, 80% Usage	Option=Gas, 100% Usage	Option=Gas, 120% Usage	Option=Propane, 80% Usage	Option=Propane, 100% Usage	Option=Propane, 120% Usage	Option=Electric, 80% Usage	Option=Electric, 100% Usage	Option=Electric, 120% Usage	Option=None	sampling_probability
Electricity	CR11	High	0	0	0.6	0	0	0.01	0	0	0.37	0.02	0.076211
Fuel Oil	CR11	High	0	0	0	0	0	1	0	0	0	0	0.000220887
Natural Gas	CR11	High	0	0	0.73	0	0	0	0	0	0.26	0.01	0.151603
None	CR11	High	0	0	0.86	0	0	0	0	0	0.12	0.03	0.0178266
Other Fuel	CR11	High	0	0	0.27	0	0	0.19	0	0	0.49	0.05	0.00132309
Propane	CR11	High	0	0	0	0	0	0.4	0	0	0.6	0	0.00281502
Electricity	CR11	Low	0.6	0	0	0.01	0	0	0.37	0	0	0.02	0.076211
Fuel Oil	CR11	Low	0	0	0	1	0	0	0	0	0	0	0.000220887
Natural Gas	CR11	Low	0.73	0	0	0	0	0	0.26	0	0	0.01	0.151603
None	CR11	Low	0.86	0	0	0	0	0	0.12	0	0	0.03	0.0178266
Other Fuel	CR11	Low	0.27	0	0	0.19	0	0	0.49	0	0	0.05	0.00132309
Propane	CR11	Low	0	0	0	0.4	0	0	0.6	0	0	0	0.00281502
Electricity	CR11	Medium	0	0.6	0	0	0.01	0	0	0.37	0	0.02	0.152422
Fuel Oil	CR11	Medium	0	0	0	0	1	0	0	0	0	0	0.000441775
Natural Gas	CR11	Medium	0	0.73	0	0	0	0	0	0.26	0	0.01	0.303207
None	CR11	Medium	0	0.86	0	0	0	0	0	0.12	0	0.03	0.0356533
Other Fuel	CR11	Medium	0	0.27	0	0	0.19	0	0	0.49	0	0.05	0.00264619
Propane	CR11	Medium	0	0	0	0	0.4	0	0	0.6	0	0	0.00563005
# Source: (fuel type) RECS 2009
# Source: (usage) engineering judgement
# Downselected: This characteristic was downselected from project_national.
