Dependency=Geometry Building Type ACS	Option=None	Option=5	Option=6	Option=7	Option=8	Option=10	Option=12	Option=15	Option=16	Option=20	Option=24	Option=30	Option=36	Option=50	Option=60	Option=90	Option=144	sampling_probability
Single-Family Attached	0	0.122416	0.132617	0.061208	0.193826	0.065235	0.096644	0.024161	0.05557	0.045369	0.045369	0.045369	0.045369	0.022886	0.017718	0.014765	0.018456	0.0583364
10 to 19 Unit	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0982369
2 Unit	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0296878
20 to 49 Unit	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13489
3 or 4 Unit	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0599677
5 to 9 Unit	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0885722
50 or more Unit	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147714
Mobile Home	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0071432
Single-Family Detached	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375452
# Source: U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Downselected: This characteristic was downselected from project_national.
