Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=HVAC Heating Type	Dependency=Vintage	Option=Cooling Only	Option=Heating and Cooling	Option=Heating Only	Option=None	source_count	source_weight
Mobile Home	Central AC	Ducted Heat Pump	1940s	0	0	0	1	0	0
Mobile Home	Heat Pump	Ducted Heat Pump	1940s	0	0	0	1	0	0
Mobile Home	None	Ducted Heat Pump	1940s	0	0	0	1	0	0
Mobile Home	Room AC	Ducted Heat Pump	1940s	0	0	0	1	0	0
Mobile Home	Central AC	Ducted Heating	1940s	0	0	0	1	0	0
Mobile Home	Heat Pump	Ducted Heating	1940s	0	0	0	1	0	0
Mobile Home	None	Ducted Heating	1940s	0	0	0	1	0	0
Mobile Home	Room AC	Ducted Heating	1940s	0	0	0	1	0	0
Mobile Home	Central AC	Non-Ducted Heat Pump	1940s	0	0	0	1	0	0
Mobile Home	Heat Pump	Non-Ducted Heat Pump	1940s	0	0	0	1	0	0
Mobile Home	None	Non-Ducted Heat Pump	1940s	0	0	0	1	1	1140.65
Mobile Home	Room AC	Non-Ducted Heat Pump	1940s	0	0	0	1	1	1140.65
Mobile Home	Central AC	Non-Ducted Heating	1940s	0	0	0	1	0	0
Mobile Home	Heat Pump	Non-Ducted Heating	1940s	0	0	0	1	0	0
Mobile Home	None	Non-Ducted Heating	1940s	0	0	0	1	1	1140.65
Mobile Home	Room AC	Non-Ducted Heating	1940s	0	0	0	1	1	1140.65
Mobile Home	Central AC	None	1940s	0	0	0	1	0	0
Mobile Home	Heat Pump	None	1940s	0	0	0	1	0	0
Mobile Home	None	None	1940s	0	0	0	1	1	1175.22
Mobile Home	Room AC	None	1940s	0	0	0	1	1	1175.22
Mobile Home	Central AC	Ducted Heat Pump	1950s	0	0	0	1	3	8923.34
Mobile Home	Heat Pump	Ducted Heat Pump	1950s	0	0	0	1	3	8923.34
Mobile Home	None	Ducted Heat Pump	1950s	0	0	0	1	3	10135.3
Mobile Home	Room AC	Ducted Heat Pump	1950s	0	0	0	1	3	10135.3
