Dependency=Census Division	Option=Midwest	Option=Northeast	Option=South	Option=West	source_count	source_weight
East North Central	1	0	0	0	1.66695e+06	2.04825e+07
East South Central	0	0	1	0	825832	8.32914e+06
Middle Atlantic	0	1	0	0	941302	1.73702e+07
Mountain	0	0	0	1	1.17962e+06	9.78085e+06
New England	0	1	0	0	401202	6.46778e+06
Pacific	0	0	0	1	1.10234e+06	1.85848e+07
South Atlantic	0	0	1	0	1.84331e+06	2.74318e+07
West North Central	1	0	0	0	1.47348e+06	9.27452e+06
West South Central	0	0	1	0	1.57401e+06	1.54942e+07
# Created by: sources\spatial\tsv_maker.py
# Source: Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.
# Source: Unit counts are from the American Community Survey 5-yr 2016.
