Dependency=PUMA	Option=2 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=10 to 19 Unit	Option=20 to 49 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
CA, 03701	0.002689	0.015505	0.013203	0.010974	0.007873	0.01955	0.047313	0.04036	0.842531	2407	41278	0
CA, 03702	0.006477	0.048153	0.079421	0.044506	0.027024	0.071828	0.045559	0.115186	0.561846	3637	63610	0
CA, 03703	0.006043	0.044244	0.059128	0.03037	0.022015	0.044108	0.073273	0.017818	0.703002	2554	51465	0
CA, 03704	0.007172	0.01587	0.03728	0.028791	0.015452	0.027307	0.046585	0.013235	0.808309	2477	47827	0
CA, 03705	0.004776	0.011217	0.025074	0.031499	0.095303	0.141836	0.032777	0.065352	0.592167	3413	59463	0.040333
CA, 03706	0.003281	0.005858	0.017549	0.025983	0.066744	0.084731	0.031817	0.064776	0.699261	2484	41142	0.027458
CA, 03707	0.008622	0.025585	0.028967	0.025811	0.032968	0.056891	0.032545	0.063879	0.724732	2126	35489	0.019867
CA, 03708	0.011362	0.025454	0.037718	0.059807	0.085773	0.070584	0.012069	0.055053	0.64218	2413	41015	0.029506
CA, 03709	0.023526	0.028375	0.021026	0.035009	0.021919	0.013856	0.000383	0.033631	0.822276	2070	39190	0
CA, 03710	0.009609	0.033393	0.042611	0.030698	0.041503	0.051569	0.018023	0.096528	0.676066	2922	45997	0
CA, 03711	0.01048	0.031618	0.030375	0.02771	0.020498	0.049967	0.062863	0.093877	0.672611	2981	56297	0
CA, 03712	0.012121	0.064873	0.045055	0.04063	0.04228	0.051888	0.034688	0.067778	0.640688	2204	38198	0
CA, 03713	0.003689	0.027386	0.033025	0.021837	0.023667	0.07376	0.022287	0.064941	0.729408	1985	33338	0
CA, 03714	0.00919	0.040124	0.035383	0.021979	0.005765	0.045129	0.024964	0.101993	0.715473	2059	34169	0
CA, 03715	0.009023	0.030623	0.01919	0.01681	0.02948	0.097216	0.022156	0.084206	0.691295	2129	32361	0
CA, 03716	0.012566	0.020192	0.019639	0.007073	0.02201	0.04153	0.01794	0.052397	0.806654	1652	25307	0
CA, 03717	0.018531	0.036054	0.060708	0.051627	0.069566	0.020273	0.007866	0.079063	0.656311	3453	62545	0
CA, 03718	0.035858	0.065446	0.075799	0.098398	0.110094	0.130376	0.003218	0.056362	0.42445	2959	54381	0
CA, 03719	0.026813	0.069853	0.156015	0.136734	0.152076	0.088235	0.000691	0.030904	0.338678	3464	72352	0
CA, 03720	0.035048	0.064237	0.119685	0.110625	0.087107	0.093614	0.001423	0.036931	0.451331	2266	47792	0.013867
CA, 03721	0.016894	0.071058	0.142341	0.15045	0.186391	0.127152	0.001255	0.039181	0.265278	2746	53393	0.038626
CA, 03722	0.007353	0.031989	0.107529	0.142562	0.208437	0.146838	0.002994	0.036497	0.3158	3063	60114	0.042711
CA, 03723	0.006653	0.012467	0.035117	0.072823	0.235584	0.174745	0.008887	0.055328	0.398395	2485	39383	0.027865
CA, 03724	0.002591	0.011346	0.023758	0.047778	0.142532	0.183653	0.006329	0.051287	0.530726	3071	60990	0.043972
CA, 03725	0.006312	0.006153	0.023738	0.049431	0.125254	0.18626	0.00089	0.041497	0.560465	3351	62896	0.04449
CA, 03726	0.005833	0.041299	0.029843	0.026888	0.016347	0.020427	0.048074	0.113174	0.698114	1871	38233	0.00342
CA, 03727	0.005241	0.019063	0.091231	0.116141	0.165821	0.097162	0.000268	0.023276	0.481796	3591	70974	0.052307
CA, 03728	0.028312	0.116208	0.207428	0.172621	0.136305	0.090437	0.001738	0.04774	0.199213	2266	52346	0.004888
CA, 03729	0.015013	0.044924	0.188262	0.184214	0.170802	0.146436	0.000972	0.029649	0.219728	4312	87458	0.061411
CA, 03730	0.076406	0.101085	0.164037	0.139453	0.136165	0.128902	0.001637	0.032246	0.220069	3647	72691	0.054442
CA, 03731	0.038693	0.049419	0.141862	0.178977	0.197626	0.136809	0.002216	0.02016	0.234238	2390	59572	0.019641
CA, 03732	0.030335	0.067505	0.131353	0.17944	0.229219	0.171946	0.002455	0.038539	0.149208	3946	77402	0.059481
CA, 03733	0.013572	0.058757	0.079294	0.157128	0.348815	0.284687	0.001438	0.018065	0.038243	2441	44505	0.033268
CA, 03734	0.047481	0.080114	0.087431	0.106085	0.213718	0.182327	0.003498	0.060914	0.218432	4279	74893	0.054798
CA, 03735	0.046701	0.052489	0.065178	0.065938	0.083461	0.042983	0.003007	0.073407	0.566835	4008	61861	0.044731
CA, 03736	0.03442	0.073403	0.136286	0.092307	0.075469	0.044964	0.002042	0.101242	0.439867	2337	41633	0.001352
CA, 03737	0.017115	0.048856	0.064027	0.032208	0.039858	0.031663	0.007235	0.11029	0.648747	2347	38562	0
CA, 03738	0.025084	0.04313	0.040385	0.051307	0.04316	0.038079	0.059016	0.11117	0.58867	1989	34245	0
CA, 03739	0.016834	0.039311	0.053795	0.032647	0.027408	0.035151	0.021399	0.052409	0.721046	3085	51919	0
CA, 03740	0.021178	0.068227	0.043232	0.035121	0.055875	0.075781	0.024068	0.063535	0.612983	2095	37727	0
CA, 03741	0.039347	0.071572	0.080447	0.058217	0.046757	0.024556	0.034206	0.130392	0.514504	2156	34818	0
CA, 03742	0.056286	0.084651	0.070896	0.049203	0.028428	0.030705	0.008095	0.136637	0.5351	1938	31624	0
CA, 03743	0.085172	0.093	0.053957	0.017073	0.007506	0.016042	0.003801	0.086686	0.636762	1758	31043	0
CA, 03744	0.02656	0.050946	0.053185	0.046961	0.09873	0.435626	0.003277	0.069553	0.215162	3203	60731	0.044117
CA, 03745	0.069246	0.122558	0.078184	0.047942	0.035647	0.034305	0.006324	0.163752	0.442042	1702	28305	0.020236
CA, 03746	0.050959	0.125134	0.090532	0.130481	0.129192	0.069204	0.001258	0.154797	0.248443	1986	31790	0.023306
CA, 03747	0.0551	0.138702	0.130511	0.113035	0.0712	0.033527	0.002404	0.078015	0.377506	2914	60309	0.041929
CA, 03748	0.031462	0.059693	0.089478	0.070927	0.083458	0.229252	0.004748	0.059461	0.371522	3533	81718	0.038385
CA, 03749	0.037241	0.10614	0.155954	0.114673	0.081313	0.051303	0.001435	0.052392	0.399548	1910	37620	0
CA, 03750	0.061371	0.086543	0.082892	0.058695	0.033447	0.038321	0.004128	0.115728	0.518874	2643	52321	0.038398
CA, 03751	0.046696	0.078334	0.076495	0.034292	0.020102	0.035475	0.006675	0.151675	0.550256	2145	38055	0.027546
CA, 03752	0.043565	0.113082	0.088191	0.034314	0.025138	0.018748	0.01004	0.082813	0.584108	2288	40537	0
CA, 03753	0.017674	0.023989	0.049896	0.088897	0.098864	0.081499	0.009038	0.041508	0.588634	1524	32307	0
CA, 03754	0.007078	0.018301	0.024216	0.038194	0.028943	0.08061	0.016456	0.03597	0.750234	2351	39561	0
CA, 03755	0.00712	0.022998	0.030811	0.033709	0.031725	0.070222	0.017642	0.038057	0.747716	1850	31742	0
CA, 03756	0.021184	0.043489	0.061338	0.074674	0.09633	0.110669	0.086269	0.080398	0.425651	1822	33894	0
CA, 03757	0.023489	0.045376	0.039402	0.022523	0.016218	0.033479	0.050231	0.068255	0.701027	2154	39338	0
CA, 03758	0.036248	0.079359	0.086794	0.073108	0.077427	0.044354	0.026506	0.077545	0.498659	2597	50706	0.004644
