Dependency=PUMA	Option=In metro area, not/partially in principal city	Option=In metro area, principal city	Option=Not/partially in metro area	source_count	source_weight	sampling_probability
CA, 03705	0	1	0	3481	63530	0.0420064
CA, 03706	0	1	0	2549	43703	0.0293662
CA, 03707	1	0	0	2141	37684	0.0201712
CA, 03708	0	1	0	2507	43929	0.0297282
CA, 03720	0	1	0	2373	51289	0.00500295
CA, 03721	0	1	0	2848	57234	0.0386343
CA, 03722	0	1	0	3176	63829	0.0427137
CA, 03723	0	1	0	2561	41443	0.0278672
CA, 03724	0	1	0	3142	64865	0.0439737
CA, 03725	0	1	0	3448	67663	0.0459087
CA, 03726	1	0	0	2023	42319	0.00454866
CA, 03727	0	1	0	3799	77972	0.0530988
CA, 03728	0	1	0	2395	58344	0.00487307
CA, 03729	0	1	0	4605	95731	0.0651119
CA, 03730	0	1	0	3878	80362	0.0544798
CA, 03731	1	0	0	2557	67870	0.0168749
CA, 03732	0	1	0	4330	88944	0.0594869
CA, 03733	0	1	0	2604	50507	0.0332694
CA, 03734	0	1	0	4544	82396	0.054801
CA, 03735	0	1	0	4223	66071	0.0447547
CA, 03736	1	0	0	2549	44728	0.0015813
CA, 03744	0	1	0	3522	71854	0.0441423
CA, 03745	0	1	0	1762	30298	0.0202391
CA, 03746	0	1	0	2091	34495	0.0233077
CA, 03747	0	1	0	3060	65935	0.0443965
CA, 03748	1	0	0	3736	90782	0.0380315
CA, 03750	0	1	0	2717	57451	0.0384126
CA, 03751	0	1	0	2212	41355	0.0275639
CA, 03758	1	0	0	2691	53774	0.00252634
CA, 03767	1	0	0	3453	64276	0.0431271
# Created by: sources\pums\2019_5yrs\tsv_maker.py
# Source: 2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.
# Assumption: 'PUMA Metro Status', derived from ACS IPUMS METRO codes, indicates whether the household resided within a metropolitan area and, for households in metropolitan areas, whether the household resided within or outside of a central/principal city. Each PUMA has a unique METRO status in ACS and therefore has a unique PUMA Metro Status. IPUMS derives METRO codes for samples not directly identified based on available geographic information and whether the associated county group or PUMA lies wholly or only partially within metropolitan areas or principal cities.
# Downselected: This characteristic was downselected from project_national.
