Dependency=Geometry Building Type RECS	Option=None	Option=No	sampling_probability
Mobile Home	0	1	0.0071432
Single-Family Detached	0	1	0.375452
Single-Family Attached	0	1	0.0583364
Multi-Family with 2 - 4 Units	1	0	0.0896554
Multi-Family with 5+ Units	1	0	0.469413
# Source: Not applicable; all homes are assumed to not have attic radiant barriers installed.
# Downselected: This characteristic was downselected from project_national.
