Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=Electric	Option=Gas	Option=None	source_count	source_weight	sampling_probability
Mobile Home	CR11	0.0165229	0.0190861	0.964391	47	394079	0.0071432
Multi-Family with 2 - 4 Units	CR11	0	0	1	141	1.03423e+06	0.0896554
Multi-Family with 5+ Units	CR11	0.0030016	0.00255119	0.994447	330	2.87167e+06	0.469413
Single-Family Attached	CR11	0.0159855	0.0128392	0.971175	144	856699	0.0583364
Single-Family Detached	CR11	0.0602301	0.0688708	0.870899	944	7.05821e+06	0.375452
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Downselected: This characteristic was downselected from project_national.
