Dependency=Geometry Stories	Option=<8	Option=8+	source_count	source_weight	sampling_probability
1	1	0	5768	5.41038e+07	0.308434
2	1	0	4098	3.79249e+07	0.35389
3	1	0	771	7.39322e+06	0.177289
4	1	0	123	1.32488e+06	0.0528522
5	1	0	74	723449	0.0249722
6	1	0	62	577566	0.0218879
7	1	0	17	151776	0.00532768
8	0	1	13	141790	0.00457874
9	0	1	10	122228	0.00403055
10	0	1	12	106310	0.00456404
11	0	1	8	86678.7	0.00261412
12	0	1	13	149908	0.00517896
13	0	1	8	66141.7	0.00285071
14	0	1	10	95842.6	0.00311634
15	0	1	10	96913	0.00314663
20	0	1	15	120772	0.00524287
21	0	1	51	572630	0.020024
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Copied: This characteristic was copied from project_national.
