Dependency=Geometry Building Type RECS	Option=Left/Right at 15ft	Option=2	Option=4	Option=7	Option=12	Option=27	Option=None
Mobile Home	1	0	0	0	0	0	0
Single-Family Detached	1	0	0	0	0	0	0
Single-Family Attached	0	0.005808	0.104524	0.154273	0.286172	0.4101	0.039122
Multi-Family with 2 - 4 Units	0	0.005808	0.104524	0.154273	0.286172	0.4101	0.039122
Multi-Family with 5+ Units	0	0.005808	0.104524	0.154273	0.286172	0.4101	0.039122
# Source: OpenStreetMap data queried by Radiant Labs for Multi-Family and Single-Family Attached
# Source: Engineering Judgement for others
