Dependency=County and PUMA	Option=CA, 03705	Option=CA, 03706	Option=CA, 03707	Option=CA, 03708	Option=CA, 03720	Option=CA, 03721	Option=CA, 03722	Option=CA, 03723	Option=CA, 03724	Option=CA, 03725	Option=CA, 03726	Option=CA, 03727	Option=CA, 03728	Option=CA, 03729	Option=CA, 03730	Option=CA, 03731	Option=CA, 03732	Option=CA, 03733	Option=CA, 03734	Option=CA, 03735	Option=CA, 03736	Option=CA, 03744	Option=CA, 03745	Option=CA, 03746	Option=CA, 03747	Option=CA, 03748	Option=CA, 03750	Option=CA, 03751	Option=CA, 03758	Option=CA, 03767	source_count	source_weight	sampling_probability
G0600370, G06003705	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	60806.3	0.0420064
G0600370, G06003706	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	42509	0.0293662
G0600370, G06003707	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	29198.7	0.0201712
G0600370, G06003708	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	43033	0.0297282
G0600370, G06003720	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7242	0.00500295
G0600370, G06003721	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	55925	0.0386343
G0600370, G06003722	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	61830	0.0427137
G0600370, G06003723	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	40339	0.0278672
G0600370, G06003724	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	63654	0.0439737
G0600370, G06003725	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	66454.9	0.0459087
