Dependency=Location Region	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 80 gal	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	source_count	source_weight	sampling_probability
CR11	Electricity	0.005	0.218407	0.748407	0.0281864	0	0	0	0	0	0	0	0	0	173	1.31179e+06	0.147583
CR11	Fuel Oil	0	0	0	0	0.0931697	0.14622	0.76061	0	0	0	0	0	0	8	8604.55	0.00016952
CR11	Natural Gas	0	0	0	0	0	0	0	0.29674	0.681235	0.0220249	0	0	0	1353	1.0266e+07	0.821047
CR11	Other Fuel	0	0	0	0	0	0	0	0	0	0	1	0	0	30	26432.3	0.00139736
CR11	Propane	0	0	0	0	0	0	0	0	0	0	0	0.225163	0.774837	66	522231	0.0298032
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Source: (Heat pump water heaters) 2016-17 RBSA II for CR06 and Butzbaugh et al. 2017 US HPWH Market Transformation - Where Weve Been and Where to Go Next for remainder of regions
# Assumption: Due to low samples, oil water heater efficiency distribution are lumped except for CR03 and CR07.
# Assumption: Water heater blanket is used as a proxy for premium storage tank water heaters.
# Assumption: Heat Pump Water Heaters are added in manually as they are not in the survey.
# Downselected: This characteristic was downselected from project_national.
