Dependency=Geometry Building Type RECS	Option=Not Applicable	Option=Double-Loaded Interior	Option=None	Option=Single Exterior Front	Option=Double Exterior	sampling_probability
Mobile Home	1	0	0	0	0	0.0071432
Multi-Family with 2 - 4 Units	0	1	0	0	0	0.0896554
Multi-Family with 5+ Units	0	1	0	0	0	0.469413
Single-Family Attached	1	0	0	0	0	0.0583364
Single-Family Detached	1	0	0	0	0	0.375452
# Source: Engineering Judgment
# Copied: This characteristic was copied from project_national.
