Dependency=Vintage	Option=<1940	Option=1940-59	Option=1960-79	Option=1980-99	Option=2000-09	Option=2010s	source_count	source_weight	sampling_probability
1940s	0	1	0	0	0	0	353738	6.71355e+06	0.0964567
1950s	0	1	0	0	0	0	735510	1.40936e+07	0.173524
1960s	0	0	1	0	0	0	735490	1.44631e+07	0.142101
1970s	0	0	1	0	0	0	1.04101e+06	2.06793e+07	0.140476
1980s	0	0	0	1	0	0	905121	1.83081e+07	0.10201
1990s	0	0	0	1	0	0	931326	1.8921e+07	0.0580745
2000s	0	0	0	0	1	0	884342	1.89654e+07	0.0538559
2010s	0	0	0	0	0	1	305430	7.06405e+06	0.030443
<1940	1	0	0	0	0	0	926440	1.73613e+07	0.203059
# Created by: sources\pums\2019_5yrs\tsv_maker.py
# Source: 2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.
# Copied: This characteristic was copied from project_national.
