Dependency=Geometry Building Type RECS	Dependency=Geometry Stories	Option=Bottom	Option=Middle	Option=None	Option=Top	sampling_probability
Single-Family Detached	1	0	0	1	0	0.233734
Single-Family Detached	2	0	0	1	0	0.136364
Single-Family Detached	3	0	0	1	0	0.00535329
Single-Family Detached	4	0	0	1	0	0
Single-Family Detached	5	0	0	1	0	0
Single-Family Detached	6	0	0	1	0	0
Single-Family Detached	7	0	0	1	0	0
Single-Family Detached	8	0	0	1	0	0
Single-Family Detached	9	0	0	1	0	0
Single-Family Detached	10	0	0	1	0	0
Single-Family Detached	11	0	0	1	0	0
Single-Family Detached	12	0	0	1	0	0
Single-Family Detached	13	0	0	1	0	0
Single-Family Detached	14	0	0	1	0	0
Single-Family Detached	15	0	0	1	0	0
Single-Family Detached	20	0	0	1	0	0
Single-Family Detached	21	0	0	1	0	0
Multi-Family with 5+ Units	1	1	0	0	0	0.0279683
Multi-Family with 5+ Units	2	0.5	0	0	0.5	0.134073
Multi-Family with 5+ Units	3	0.333333	0.333333	0	0.333333	0.150786
Multi-Family with 5+ Units	4	0.25	0.5	0	0.25	0.0490502
Multi-Family with 5+ Units	5	0.2	0.6	0	0.2	0.0249722
Multi-Family with 5+ Units	6	0.166667	0.666667	0	0.166667	0.0218879
Multi-Family with 5+ Units	7	0.142857	0.714286	0	0.142857	0.00532768
Multi-Family with 5+ Units	8	0.125	0.75	0	0.125	0.00457874
Multi-Family with 5+ Units	9	0.111111	0.777778	0	0.111111	0.00403055
Multi-Family with 5+ Units	10	0.1	0.8	0	0.1	0.00456404
Multi-Family with 5+ Units	11	0.0909091	0.818182	0	0.0909091	0.00261412
Multi-Family with 5+ Units	12	0.0833333	0.833333	0	0.0833333	0.00517896
Multi-Family with 5+ Units	13	0.0769231	0.846154	0	0.0769231	0.00285071
Multi-Family with 5+ Units	14	0.0714286	0.857143	0	0.0714286	0.00311634
Multi-Family with 5+ Units	15	0.0666667	0.866667	0	0.0666667	0.00314663
Multi-Family with 5+ Units	20	0.05	0.9	0	0.05	0.00524287
Multi-Family with 5+ Units	21	0.047619	0.904762	0	0.047619	0.020024
Single-Family Attached	1	0	0	1	0	0.0260035
Single-Family Attached	2	0	0	1	0	0.029249
Single-Family Attached	3	0	0	1	0	0.00308395
Single-Family Attached	4	0	0	1	0	0
Single-Family Attached	5	0	0	1	0	0
Single-Family Attached	6	0	0	1	0	0
Single-Family Attached	7	0	0	1	0	0
Single-Family Attached	8	0	0	1	0	0
Single-Family Attached	9	0	0	1	0	0
Single-Family Attached	10	0	0	1	0	0
Single-Family Attached	11	0	0	1	0	0
Single-Family Attached	12	0	0	1	0	0
Single-Family Attached	13	0	0	1	0	0
Single-Family Attached	14	0	0	1	0	0
Single-Family Attached	15	0	0	1	0	0
Single-Family Attached	20	0	0	1	0	0
Single-Family Attached	21	0	0	1	0	0
Multi-Family with 2 - 4 Units	1	1	0	0	0	0.0135848
Multi-Family with 2 - 4 Units	2	0.5	0	0	0.5	0.0542031
Multi-Family with 2 - 4 Units	3	0.333333	0.333333	0	0.333333	0.0180655
Multi-Family with 2 - 4 Units	4	0.25	0.5	0	0.25	0.00380193
Multi-Family with 2 - 4 Units	5	0.2	0.6	0	0.2	0
Multi-Family with 2 - 4 Units	6	0.166667	0.666667	0	0.166667	0
Multi-Family with 2 - 4 Units	7	0.142857	0.714286	0	0.142857	0
Multi-Family with 2 - 4 Units	8	0.125	0.75	0	0.125	0
Multi-Family with 2 - 4 Units	9	0.111111	0.777778	0	0.111111	0
Multi-Family with 2 - 4 Units	10	0.1	0.8	0	0.1	0
Multi-Family with 2 - 4 Units	11	0.0909091	0.818182	0	0.0909091	0
Multi-Family with 2 - 4 Units	12	0.0833333	0.833333	0	0.0833333	0
Multi-Family with 2 - 4 Units	13	0.0769231	0.846154	0	0.0769231	0
Multi-Family with 2 - 4 Units	14	0.0714286	0.857143	0	0.0714286	0
Multi-Family with 2 - 4 Units	15	0.0666667	0.866667	0	0.0666667	0
Multi-Family with 2 - 4 Units	20	0.05	0.9	0	0.05	0
Multi-Family with 2 - 4 Units	21	0.047619	0.904762	0	0.047619	0
Mobile Home	1	0	0	1	0	0.00714319
Mobile Home	2	0	0	1	0	0
Mobile Home	3	0	0	1	0	0
Mobile Home	4	0	0	1	0	0
Mobile Home	5	0	0	1	0	0
Mobile Home	6	0	0	1	0	0
Mobile Home	7	0	0	1	0	0
Mobile Home	8	0	0	1	0	0
Mobile Home	9	0	0	1	0	0
Mobile Home	10	0	0	1	0	0
Mobile Home	11	0	0	1	0	0
Mobile Home	12	0	0	1	0	0
Mobile Home	13	0	0	1	0	0
Mobile Home	14	0	0	1	0	0
Mobile Home	15	0	0	1	0	0
Mobile Home	20	0	0	1	0	0
Mobile Home	21	0	0	1	0	0
# Created by: sources\recs\2009\tsv_maker.py
# Source: Calculated directly from other distributions
# Assumption: Calculated using the number of stories, where buildings >=2 stories have Top and Bottom probabilities = 1/Geometry Stories, and Middle probabilities = 1 - 2/Geometry stories
# Copied: This characteristic was copied from project_national.
