Dependency=County and PUMA	Option=CA, Los Angeles County	source_count	source_weight	sampling_probability
G0600370, G06003705	1	42	60806.3	0.0420064
G0600370, G06003706	1	33	42509	0.0293662
G0600370, G06003707	1	29	29198.7	0.0201712
G0600370, G06003708	1	36	43033	0.0297282
G0600370, G06003720	1	5	7242	0.00500295
G0600370, G06003721	1	36	55925	0.0386343
G0600370, G06003722	1	40	61830	0.0427137
G0600370, G06003723	1	36	40339	0.0278672
G0600370, G06003724	1	40	63654	0.0439737
G0600370, G06003725	1	42	66454.9	0.0459087
G0600370, G06003726	1	5	6584.4	0.00454866
G0600370, G06003727	1	40	76863	0.0530988
G0600370, G06003728	1	4	7054	0.00487307
G0600370, G06003729	1	52	94252.6	0.0651119
G0600370, G06003730	1	45	78862	0.0544798
G0600370, G06003731	1	14	24427.2	0.0168749
G0600370, G06003732	1	51	86110	0.0594869
G0600370, G06003733	1	34	48159	0.0332694
G0600370, G06003734	1	58	79327	0.054801
G0600370, G06003735	1	54	64784.5	0.0447547
G0600370, G06003736	1	2	2289	0.0015813
G0600370, G06003744	1	48	63898	0.0441423
G0600370, G06003745	1	28	29297	0.0202391
G0600370, G06003746	1	30	33739	0.0233077
G0600370, G06003747	1	42	64266	0.0443965
G0600370, G06003748	1	29	55052.4	0.0380315
G0600370, G06003750	1	40	55604	0.0384126
G0600370, G06003751	1	34	39900	0.0275639
G0600370, G06003758	1	3	3657	0.00252634
G0600370, G06003767	1	47	62428.4	0.0431271
# Created by: sources\la100es\spatial_tsv_maker.py
# Source: Unit counts are from the American Community Survey 5-yr 2016.
# Source: Spatial definitions are from U.S. Census 2010.
# Assumption: The City of Los Angeles is completely contained within Los Angeles County, CA.
