Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Wall Type	Option=Wood Stud, Uninsulated	Option=Wood Stud, R-7	Option=Wood Stud, R-11	Option=Wood Stud, R-15	Option=Wood Stud, R-19	Option=CMU, 6-in Hollow, Uninsulated	Option=CMU, 6-in Hollow, R-7	Option=CMU, 6-in Hollow, R-11	Option=CMU, 6-in Hollow, R-15	Option=CMU, 6-in Hollow, R-19	Option=Brick, 12-in, 3-wythe, Uninsulated	Option=Brick, 12-in, 3-wythe, R-7	Option=Brick, 12-in, 3-wythe, R-11	Option=Brick, 12-in, 3-wythe, R-15	Option=Brick, 12-in, 3-wythe, R-19	Option=Void	sampling_probability
CR11	<1940	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00594024
CR11	1950s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00399288
CR11	1960s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000743504
CR11	1970s	Brick	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.000715718
CR11	1980s	Brick	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.9	0	0.06	0	0.000485055
CR11	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0.69	0.08	0.24	0	0.000287695
CR11	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0.02	0.51	0	0.000266144
CR11	1940s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00218984
CR11	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0.02	0.51	0	9.90204e-05
CR11	<1940	Concrete	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00154023
CR11	1950s	Concrete	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.000683019
CR11	1960s	Concrete	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00277558
CR11	1970s	Concrete	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.00309362
CR11	1980s	Concrete	0	0	0	0	0	0.01	0.02	0.9	0	0.06	0	0	0	0	0	0	0.000226112
CR11	1990s	Concrete	0	0	0	0	0	0	0	0.69	0.08	0.24	0	0	0	0	0	0	0.000122177
CR11	2000s	Concrete	0	0	0	0	0	0	0	0.47	0.02	0.51	0	0	0	0	0	0	0.000624787
CR11	1940s	Concrete	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.000370693
CR11	2010s	Concrete	0	0	0	0	0	0	0	0.47	0.02	0.51	0	0	0	0	0	0	1.57667e-05
CR11	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR11	1950s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR11	1960s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR11	1970s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR11	1980s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR11	1990s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR11	2000s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR11	1940s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR11	2010s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR11	<1940	Steel Frame	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011929
CR11	1950s	Steel Frame	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00455953
CR11	1960s	Steel Frame	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0096786
CR11	1970s	Steel Frame	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148897
CR11	1980s	Steel Frame	0.01	0.02	0.9	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0.00500983
CR11	1990s	Steel Frame	0	0	0.69	0.08	0.24	0	0	0	0	0	0	0	0	0	0	0	0.00278834
CR11	2000s	Steel Frame	0	0	0.47	0.02	0.51	0	0	0	0	0	0	0	0	0	0	0	0.00378005
CR11	1940s	Steel Frame	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00325063
CR11	2010s	Steel Frame	0	0	0.47	0.02	0.51	0	0	0	0	0	0	0	0	0	0	0	0.00279172
CR11	<1940	Wood Frame	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183649
CR11	1950s	Wood Frame	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164289
CR11	1960s	Wood Frame	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128903
CR11	1970s	Wood Frame	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121777
CR11	1980s	Wood Frame	0.01	0.02	0.9	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0.0962892
CR11	1990s	Wood Frame	0	0	0.69	0.08	0.24	0	0	0	0	0	0	0	0	0	0	0	0.0548763
CR11	2000s	Wood Frame	0	0	0.47	0.02	0.51	0	0	0	0	0	0	0	0	0	0	0	0.049185
CR11	1940s	Wood Frame	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0906456
CR11	2010s	Wood Frame	0	0	0.47	0.02	0.51	0	0	0	0	0	0	0	0	0	0	0	0.0275365
# Source: Ritschard et al. Single-Family Heating and Cooling Requirements: Assumptions, Methods, and Summary Results 1992
# Source: Nettleton, G.; Edwards, J. (2012). Data Collection-Data Characterization Summary, NorthernSTAR Building America Partnership, Building Technologies Program. Washington, D.C.: U.S. Department of Energy, as described in Roberts et al., 'Assessment of the U.S. Department of Energy's Home Energy Score Tool', 2012, and Merket Building America Field Data Repository, Webinar, 2014
# Assumption: Updated per new wall type from Lightbox, all wall type-specific distributions follow that of `Wood Frame` (`WoodStud`)
# Source: Ritschard et al. Single-Family Heating and Cooling Requirements: Assumptions, Methods, and Summary Results 1992
# Source: Nettleton, G.; Edwards, J. (2012). Data Collection-Data Characterization Summary, NorthernSTAR Building America Partnership, Building Technologies Program. Washington, D.C.: U.S. Department of Energy, as described in Roberts et al., 'Assessment of the U.S. Department of Energy's Home Energy Score Tool', 2012, and Merket Building America Field Data Repository, Webinar, 2014
# Assumption: Updated per new wall type from Lightbox, all wall type-specific distributions follow that of `Wood Frame` (`WoodStud`)
# Source: Ritschard et al. Single-Family Heating and Cooling Requirements: Assumptions, Methods, and Summary Results 1992
# Source: Nettleton, G.; Edwards, J. (2012). Data Collection-Data Characterization Summary, NorthernSTAR Building America Partnership, Building Technologies Program. Washington, D.C.: U.S. Department of Energy, as described in Roberts et al., 'Assessment of the U.S. Department of Energy's Home Energy Score Tool', 2012, and Merket Building America Field Data Repository, Webinar, 2014
# Assumption: Updated per new wall type from Lightbox, all wall type-specific distributions follow that of `Wood Frame` (`WoodStud`)
# Source: Ritschard et al. Single-Family Heating and Cooling Requirements: Assumptions, Methods, and Summary Results 1992
# Source: Nettleton, G.; Edwards, J. (2012). Data Collection-Data Characterization Summary, NorthernSTAR Building America Partnership, Building Technologies Program. Washington, D.C.: U.S. Department of Energy, as described in Roberts et al., 'Assessment of the U.S. Department of Energy's Home Energy Score Tool', 2012, and Merket Building America Field Data Repository, Webinar, 2014
# Assumption: Updated per new wall type from Lightbox, all wall type-specific distributions follow that of `Wood Frame` (`WoodStud`)
# Downselected: This characteristic was downselected from project_national.
