Dependency=Insulation Foundation Wall	Option=None	Option=Uninsulated	Option=R-5, Exterior	Option=R-10, Exterior	Option=R-15, Exterior	sampling_probability
None	1	0	0	0	0	0.590665
Uninsulated	0	1	0	0	0	0.40908
Wall R-5, Exterior	0	0	1	0	0	0
Wall R-10, Exterior	0	0	0	1	0	0.000221464
Wall R-15, Exterior	0	0	0	0	1	3.39643e-05
# Copied: This characteristic was copied from project_national.
