Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Floor Area	Dependency=Vintage	Option=1 ACH50	Option=2 ACH50	Option=3 ACH50	Option=4 ACH50	Option=5 ACH50	Option=6 ACH50	Option=7 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Option=30 ACH50	Option=40 ACH50	Option=50 ACH50	sampling_probability
3B	0-499	1940s	0	1.41852e-06	6.42778e-05	0.00057613	0.0023233	0.00593815	0.0114308	0.0182368	0.0580687	0.228399	0.233642	0.171853	0.109908	0.104746	0.0548123	0.0036797
3B	1000-1499	1940s	0	6.52963e-06	0.000230381	0.00170631	0.0058669	0.0131149	0.0225205	0.0325433	0.0910147	0.285626	0.232581	0.143577	0.0797165	0.0650652	0.0264306	0.0327365
3B	1500-1999	1940s	0	1.44222e-05	0.000447711	0.00297718	0.00935619	0.0193992	0.0312507	0.0427362	0.111287	0.308854	0.221433	0.124007	0.0636435	0.0476958	0.0168969	0.0191838
3B	2000-2499	1940s	0	3.12889e-05	0.000849459	0.0050592	0.0145125	0.0278845	0.0421088	0.0544569	0.131961	0.323637	0.203553	0.103147	0.048841	0.0335728	0.0103843	0.00621929
3B	2500-2999	1940s	2.22222e-08	6.61963e-05	0.00155173	0.00826151	0.0216469	0.0385821	0.0546612	0.0668894	0.15099	0.327965	0.180936	0.0830091	0.0362939	0.0229263	0.00622109	0.00241644
3B	3000-3999	1940s	1.11111e-07	0.00016493	0.00316677	0.0145682	0.0340061	0.0551256	0.0720885	0.0823222	0.170192	0.318394	0.148974	0.060353	0.023892	0.0136022	0.00315052	0.000832247
3B	4000+	1940s	0.000972911	0.0550995	0.171934	0.211257	0.181473	0.132652	0.0894798	0.0579039	0.0597335	0.0351293	0.00377641	0.0004924	7.71e-05	1.70444e-05	1.64444e-06	0.00128402
3B	500-749	1940s	0	2.39259e-06	0.000100263	0.000845289	0.00323237	0.00789514	0.0146168	0.0225418	0.0686356	0.249646	0.236162	0.163558	0.0996388	0.0900068	0.0431187	0.017075
3B	750-999	1940s	0	3.74074e-06	0.000145226	0.00115606	0.00421837	0.00990982	0.017751	0.0266067	0.0780542	0.266167	0.23595	0.15546	0.0909637	0.0786078	0.0350068	0.0179818
3B	0-499	1950s	0	1.41852e-06	6.42778e-05	0.00057613	0.0023233	0.00593815	0.0114308	0.0182368	0.0580687	0.228399	0.233642	0.171853	0.109908	0.104746	0.0548123	0.00662887
3B	1000-1499	1950s	0	6.52963e-06	0.000230381	0.00170631	0.0058669	0.0131149	0.0225205	0.0325433	0.0910147	0.285626	0.232581	0.143577	0.0797165	0.0650652	0.0264306	0.0582561
3B	1500-1999	1950s	0	1.44222e-05	0.000447711	0.00297718	0.00935619	0.0193992	0.0312507	0.0427362	0.111287	0.308854	0.221433	0.124007	0.0636435	0.0476958	0.0168969	0.0347669
3B	2000-2499	1950s	0	3.12889e-05	0.000849459	0.0050592	0.0145125	0.0278845	0.0421088	0.0544569	0.131961	0.323637	0.203553	0.103147	0.048841	0.0335728	0.0103843	0.0113586
3B	2500-2999	1950s	2.22222e-08	6.61963e-05	0.00155173	0.00826151	0.0216469	0.0385821	0.0546612	0.0668894	0.15099	0.327965	0.180936	0.0830091	0.0362939	0.0229263	0.00622109	0.00432977
3B	3000-3999	1950s	1.11111e-07	0.00016493	0.00316677	0.0145682	0.0340061	0.0551256	0.0720885	0.0823222	0.170192	0.318394	0.148974	0.060353	0.023892	0.0136022	0.00315052	0.00155533
3B	4000+	1950s	0.000972911	0.0550995	0.171934	0.211257	0.181473	0.132652	0.0894798	0.0579039	0.0597335	0.0351293	0.00377641	0.0004924	7.71e-05	1.70444e-05	1.64444e-06	0.00238191
3B	500-749	1950s	0	2.39259e-06	0.000100263	0.000845289	0.00323237	0.00789514	0.0146168	0.0225418	0.0686356	0.249646	0.236162	0.163558	0.0996388	0.0900068	0.0431187	0.0290207
3B	750-999	1950s	0	3.74074e-06	0.000145226	0.00115606	0.00421837	0.00990982	0.017751	0.0266067	0.0780542	0.266167	0.23595	0.15546	0.0909637	0.0786078	0.0350068	0.0316095
3B	0-499	1960s	0	8.2037e-06	0.000276756	0.00198471	0.00665435	0.0145753	0.0246075	0.0350483	0.0962107	0.292414	0.230378	0.138653	0.0754159	0.0601904	0.0235824	0.00495841
3B	1000-1499	1960s	0	3.18259e-05	0.000869467	0.00517554	0.0148089	0.0283684	0.0427117	0.0550832	0.132982	0.32405	0.202472	0.102119	0.0481817	0.0329978	0.0101483	0.0401541
3B	1500-1999	1960s	1.48148e-08	6.74778e-05	0.00158524	0.00841818	0.021986	0.039069	0.0552059	0.0674018	0.151705	0.327903	0.179943	0.0822248	0.0358367	0.0225622	0.00609121	0.0195902
3B	2000-2499	1960s	7.77778e-08	0.000141841	0.00283201	0.0133594	0.031776	0.052295	0.069259	0.0799602	0.167614	0.321021	0.154165	0.0636765	0.0255937	0.0147989	0.00350699	0.0125481
3B	2500-2999	1960s	3.62963e-07	0.0003	0.00491228	0.0204171	0.0441766	0.0673743	0.0837089	0.0914614	0.178805	0.304202	0.127809	0.0477322	0.0177064	0.00942342	0.00197175	0.00708931
3B	3000-3999	1960s	2.0037e-06	0.00074817	0.00939965	0.0331173	0.0635001	0.0879946	0.100942	0.102978	0.184715	0.271728	0.0964653	0.0317353	0.0106438	0.00511164	0.000919407	0.00316965
3B	4000+	1960s	0.00268256	0.108256	0.247342	0.233953	0.163531	0.101437	0.0598506	0.0346383	0.0315064	0.0153359	0.00129662	0.000144333	2.01333e-05	3.98889e-06	9.77778e-07	0.000741656
3B	500-749	1960s	0	1.31519e-05	0.000414963	0.00279483	0.00887551	0.0185641	0.0301287	0.0414685	0.108891	0.306572	0.223102	0.126366	0.0654475	0.0495336	0.0178276	0.0237207
3B	750-999	1960s	0	1.9237e-05	0.000573704	0.00367059	0.0111504	0.0224561	0.0352802	0.0472059	0.119497	0.31584	0.215104	0.115836	0.0576071	0.041738	0.0140217	0.0265506
3B	0-499	1970s	0	9.67407e-06	0.000319356	0.00224033	0.00736868	0.0158787	0.0264369	0.0372033	0.100551	0.297588	0.228156	0.134493	0.0719359	0.0563726	0.0214464	0.00626661
3B	1000-1499	1970s	0	3.74222e-05	0.000990874	0.00575832	0.0161613	0.030469	0.0452588	0.0576901	0.137198	0.325792	0.197963	0.0977417	0.0453338	0.0304884	0.00911756	0.0429482
3B	1500-1999	1970s	2.22222e-08	7.77407e-05	0.00178516	0.00928473	0.0238146	0.0416652	0.0580882	0.0700926	0.1554	0.327355	0.174671	0.0781414	0.0334832	0.0207052	0.00543639	0.0140408
3B	2000-2499	1970s	1.18519e-07	0.000166274	0.00318738	0.0146496	0.0341686	0.0553463	0.0723227	0.0825301	0.170448	0.318254	0.148543	0.0600547	0.023732	0.0134846	0.00311315	0.00845968
3B	2500-2999	1970s	4.7037e-07	0.0003493	0.00549917	0.0222568	0.0471906	0.0708028	0.0867709	0.0936956	0.180478	0.299463	0.122267	0.0446846	0.016291	0.00851638	0.00173487	0.00404084
3B	3000-3999	1970s	2.78148e-06	0.00087577	0.0104488	0.0357603	0.0671799	0.0916034	0.103672	0.104534	0.184775	0.265169	0.0914453	0.0294405	0.00970705	0.00458196	0.000803407	0.00182962
3B	4000+	1970s	0.00305491	0.11553	0.254659	0.234486	0.160467	0.0978416	0.0569175	0.0325536	0.0292255	0.0139608	0.00115492	0.000127044	1.76e-05	3.46667e-06	8.77778e-07	0.000703941
3B	500-749	1970s	0	1.55148e-05	0.000475778	0.00313312	0.00976585	0.0201087	0.0322013	0.0438078	0.113304	0.310729	0.219972	0.122	0.0621318	0.0461873	0.0161665	0.0301229
3B	750-999	1970s	0	2.26667e-05	0.000656774	0.00410563	0.0122346	0.0242461	0.0375739	0.0496823	0.123861	0.318942	0.211331	0.111445	0.0544921	0.0387624	0.0126442	0.0332173
3B	0-499	1980s	1.11111e-08	5.34e-05	0.00131783	0.00725793	0.0195105	0.0354979	0.0511655	0.0635454	0.146172	0.327872	0.187319	0.0882491	0.039416	0.0254668	0.00715603	0.00616108
3B	1000-1499	1980s	1.62963e-07	0.00020283	0.00369209	0.0164084	0.0373184	0.0592386	0.0761115	0.0856008	0.173577	0.314191	0.141628	0.055774	0.0215821	0.0119973	0.00267906	0.0342002
3B	1500-1999	1980s	6.77778e-07	0.000422996	0.00629298	0.0246097	0.0509115	0.0749234	0.0903578	0.0962288	0.18215	0.293387	0.115738	0.0412197	0.0147251	0.00754131	0.00149138	0.010787
3B	2000-2499	1980s	2.8037e-06	0.000881519	0.0105171	0.0359607	0.0674748	0.0918982	0.103897	0.104664	0.18479	0.264664	0.091046	0.029251	0.00962662	0.00453432	0.00079217	0.00483596
3B	2500-2999	1980s	9.24074e-06	0.001746	0.0168774	0.0505251	0.0860727	0.108613	0.115233	0.109903	0.181231	0.231317	0.0692974	0.0200585	0.0060764	0.00263314	0.000407611	0.00342506
3B	3000-3999	1980s	3.3837e-05	0.00384409	0.0289501	0.0735495	0.111079	0.127427	0.12489	0.111261	0.168619	0.186793	0.0469817	0.0119051	0.0032405	0.00125995	0.000166341	0.00368742
3B	4000+	1980s	0.011759	0.210003	0.316983	0.219138	0.119327	0.0604434	0.030197	0.0152213	0.0119075	0.00467713	0.0003082	3.00556e-05	3.86667e-06	7.22222e-07	7.55556e-07	0.00218979
3B	500-749	1980s	2.59259e-08	8.29556e-05	0.0018855	0.00970829	0.0246878	0.0428826	0.0594188	0.0713161	0.157033	0.32693	0.172208	0.0763034	0.0324525	0.0199175	0.0051741	0.0162542
3B	750-999	1980s	5.92593e-08	0.000123333	0.00254273	0.0122763	0.0297327	0.0496552	0.0665744	0.0776725	0.164988	0.323125	0.159074	0.0669554	0.0273245	0.0160555	0.00390007	0.019793
3B	0-499	1990s	8.51852e-07	0.000469356	0.00677057	0.0259927	0.0530529	0.0772415	0.0923222	0.0975654	0.1829	0.289812	0.11218	0.0393817	0.0139065	0.00703708	0.0013666	0.00352421
3B	1000-1499	1990s	8.54074e-06	0.00166064	0.0162941	0.0492806	0.0845848	0.107364	0.114461	0.109621	0.181703	0.233975	0.0708673	0.0206881	0.00631005	0.00275303	0.000430244	0.0195696
3B	1500-1999	1990s	2.39778e-05	0.00312397	0.025179	0.0668784	0.104333	0.122781	0.122908	0.111499	0.172797	0.198721	0.0523802	0.0137594	0.00385637	0.00154482	0.000213167	0.00643991
3B	2000-2499	1990s	6.01963e-05	0.00566624	0.0377929	0.0881043	0.124757	0.135959	0.127665	0.109604	0.158685	0.162754	0.0370978	0.00871224	0.00222914	0.000813926	9.80926e-05	0.00318381
3B	2500-2999	1990s	0.000127589	0.00963993	0.0543772	0.11185	0.143968	0.145367	0.128077	0.104086	0.14089	0.129134	0.0254401	0.00533854	0.00124616	0.000414674	4.37926e-05	0.00228772
3B	3000-3999	1990s	0.000272904	0.0174709	0.0815643	0.143768	0.164124	0.150543	0.122461	0.0929339	0.115772	0.0924482	0.0151439	0.00274793	0.0005681	0.00016687	1.49889e-05	0.00253676
3B	4000+	1990s	0.0477436	0.364389	0.325969	0.156104	0.0633127	0.024954	0.0100151	0.00415983	0.00260313	0.000718067	2.82111e-05	1.86667e-06	1.66667e-07	1.11111e-08	6.55556e-07	0.00138046
3B	500-749	1990s	1.93704e-06	0.000736233	0.0092934	0.0328364	0.0630998	0.0876004	0.100648	0.102819	0.184741	0.272489	0.0969872	0.0319502	0.0107222	0.00514968	0.00092527	0.00924068
3B	750-999	1990s	3.78889e-06	0.00105506	0.0119358	0.0394235	0.0721245	0.0962902	0.107074	0.106342	0.18445	0.256384	0.0851071	0.0266156	0.00857336	0.0039516	0.000668919	0.0112836
3B	0-499	2000s	6.78889e-06	0.00146255	0.0149347	0.046299	0.0809215	0.104215	0.112466	0.108849	0.182801	0.240585	0.0747807	0.0222512	0.00688905	0.0030508	0.000487207	0.00202767
3B	1000-1499	2000s	4.22556e-05	0.00450017	0.0323209	0.0793424	0.116751	0.131163	0.126312	0.110824	0.1648	0.176797	0.0426907	0.0104842	0.00278233	0.00105436	0.000134067	0.0129631
3B	1500-1999	2000s	9.57222e-05	0.00781777	0.0470983	0.101899	0.136354	0.142033	0.128434	0.10674	0.148497	0.142479	0.0298012	0.00655111	0.00158866	0.000549556	6.13778e-05	0.00714309
3B	2000-2499	2000s	0.000187648	0.0129477	0.0665529	0.127075	0.154401	0.148865	0.126208	0.0992295	0.129012	0.110561	0.0199147	0.00389409	0.000856956	0.000268363	2.61185e-05	0.00338756
