Dependency=Location Heating Region	Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	<1950	1205728.11562	113	273893.45	10670.1603152	2922487020.79
H1	1950s	425598.884508	34	99747.96	12517.6142502	1248606485.53
H1	1960s	702164.803182	54	186101.44	13003.0519108	2419886684.99
H1	1970s	899824.60365	55	198261.19	16360.4473391	3243641758.38
H1	1980s	399265.073365	31	112203.64	12879.5184956	1445128856.66
H1	1990s	591515.745652	56	192482.92	10562.7811724	2033154963.38
H1	2000s	574104.392117	54	171685.4	10631.562817	1825284114.86
H2	<1950	135904.956349	10	29909.21	13590.4956349	406480987.948
H2	1950s	190984.683116	11	55852.67	17362.2439196	969727680.103
H2	1960s	64622.860217	3	3481.8	21540.9534057	75001291.5679
H2	1970s	182978.81903	12	35228.92	15248.2349191	537178848.107
H2	1980s	13454.180429	2	5710.81	6727.0902145	38417134.0679
H2	1990s	211315.961406	22	79229.32	9605.27097298	761019087.605
H2	2000s	170539.257995	17	52140.58	10031.7210585	523059754.389
H3	<1950	98578.7287791	9	16219.29	10953.1920866	177652998.878
H3	1950s	23776.722817	3	4468.01	7925.57427233	35411545.1045
H3	1960s	14898.9008192	2	3275.55	7449.4504096	24401047.2892
H3	1970s	62206.0217919	6	12467.74	10367.6702987	129261417.689
H3	1980s	28403.8978395	4	5612.68	7100.97445988	39855497.3315
H3	1990s	80279.7263362	8	14804.87	10034.965792	148566364.005
H3	2000s	143225.895524	13	18078.29	11017.3765788	199175328.831
