Dependency=Heating Fuel	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
Electricity	15522.5129925	195	488153.25	79.602630731	38858282.8999
Natural Gas	249440.245935	330	1097125.82	755.879533138	829294952.615
