Dependency=Location Cooling Region	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
C1	4466841.57569	373	934130.06	11975.4465836	11186624635.7
C2	1168728.59141	98	472480.25	11925.8019532	5634705888.3
C3	651596.466293	54	178668.76	12066.6012276	2155924678.76
