Dependency=Location Cooling Region	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
C1	181385.911003	373	934130.06	486.289305638	454257458.253
C2	56961.8724573	98	472480.25	581.243596503	274626119.787
C3	26614.9754676	54	178668.76	492.869916067	88060456.7449
