Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
<1950	1440211.80075	132	320021.95	10910.6954602	3491662037.03
1950s	640360.290441	48	160068.64	13340.8393842	2135450016.69
1960s	781686.564218	59	192858.79	13248.9248173	2555171609.06
1970s	1145009.44447	73	245957.85	15685.0608832	3857863851.94
1980s	441123.151634	37	123527.13	11922.2473414	1472720997.24
1990s	883111.433394	86	286517.11	10268.7375976	2942169019.81
2000s	887869.545636	84	241904.27	10569.8755433	2556898027.29
