Dependency=Vintage	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
<1950	69021.8331025	132	320021.95	522.892675019	167337133.5
1950s	15907.7019637	48	160068.64	331.410457578	53048421.2262
1960s	29140.1977803	59	192858.79	493.901657293	95253276.0045
1970s	26241.7419626	73	245957.85	359.475917296	88415923.745
1980s	16750.2978881	37	123527.13	452.710753733	55922060.1288
1990s	46875.3394732	86	286517.11	545.062086898	156169613.909
2000s	58087.6542971	84	241904.27	691.519694013	167281566.771
