Dependency=Heating Fuel	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
Electricity	3468725.04474	195	488153.25	17788.3335628	8683432840.76
Natural Gas	2818441.58866	330	1097125.82	8540.73208684	9370257694.18
