Dependency=Location Heating Region	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	4847921.4762	401	1245475.99	12089.5797412	15057281296.8
H2	980982.250814	78	262745.77	12576.6955233	3304473549.31
H3	458262.906383	46	77057.31	9962.23709529	767663192.145
