Dependency=Location Heating Region	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1	191537.894244	401	1245475.99	477.650609088	594902365.228
H2	39265.0707138	78	262745.77	503.398342485	132265785.113
H3	34159.7939699	46	77057.31	742.604216737	57223083.3364
