panel_amp_pre_bin_7,panel_amp_dist
100,"([100.0], [1.0])"
101-124,"([120.0], [1.0])"
125,"([125.0], [1.0])"
126-199,"([150.0, 175.0], [0.8419540229885057, 0.15804597701149425])"
200,"([200.0], [1.0])"
201+,"([225.0, 250.0, 275.0, 300.0, 325.0, 350.0, 375.0, 400.0, 500.0, 600.0, 700.0, 800.0, 1000.0], [0.296551724137931, 0.28551724137931034, 0.01793103448275862, 0.10896551724137932, 0.008275862068965517, 0.011034482758620689, 0.008275862068965517, 0.15310344827586206, 0.020689655172413793, 0.038620689655172416, 0.006896551724137931, 0.009655172413793104, 0.034482758620689655])"
<100,"([30.0, 60.0, 70.0, 90.0], [0.03611738148984198, 0.5033860045146726, 0.07900677200902935, 0.38148984198645597])"
