Panel size bin,Floor area,Electric heating fuel,Non-electric heating fuel
<100,all,90,60
100,all,100,100
101-124,all,120,120
125,all,125,125
126-199,all,150,150
200,all,200,200
201+,0-499,250,250
201+,500-749,250,250
201+,750-999,250,250
201+,1000-1499,250,250
201+,1500-1999,250,250
201+,2000-2499,250,250
201+,2500-2999,250,250
201+,3000-3999,300,300
201+,4000+,400,400
