Dependency=Geometry Building Type	Dependency=Location EPW	Option=Detached	Option=Left Facade	Option=Right Facade	Option=Back Facade	Option=Left and Right Facades	Option=Left and Back Facades	Option=Right and Back Facades
Single-Family Detached	0884454_United_States_IL_Cook_17031_725300_41.97_-87.9_NSRDB_2.0.1_AMY.epw	1	0	0	0	0	0	0
Single-Family Detached	0857218_United_States_IL_Winnebago_17201_725430_42.21_-89.1_NSRDB_2.0.1_AMY.epw	1	0	0	0	0	0	0
Mobile Home	0884454_United_States_IL_Cook_17031_725300_41.97_-87.9_NSRDB_2.0.1_AMY.epw	1	0	0	0	0	0	0
Mobile Home	0857218_United_States_IL_Winnebago_17201_725430_42.21_-89.1_NSRDB_2.0.1_AMY.epw	1	0	0	0	0	0	0
Single-Family Attached	0884454_United_States_IL_Cook_17031_725300_41.97_-87.9_NSRDB_2.0.1_AMY.epw	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143
Single-Family Attached	0857218_United_States_IL_Winnebago_17201_725430_42.21_-89.1_NSRDB_2.0.1_AMY.epw	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143
Multi-Family with 2 - 4 Units	0884454_United_States_IL_Cook_17031_725300_41.97_-87.9_NSRDB_2.0.1_AMY.epw	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143
Multi-Family with 2 - 4 Units	0857218_United_States_IL_Winnebago_17201_725430_42.21_-89.1_NSRDB_2.0.1_AMY.epw	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143
Multi-Family with 5+ Units	0884454_United_States_IL_Cook_17031_725300_41.97_-87.9_NSRDB_2.0.1_AMY.epw	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143
Multi-Family with 5+ Units	0857218_United_States_IL_Winnebago_17201_725430_42.21_-89.1_NSRDB_2.0.1_AMY.epw	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143
