Vintage,Size,"8 ACH50","2 ACH50","20 ACH50","10 ACH50","6 ACH50","15 ACH50","25 ACH50","4 ACH50",
pre-1950,0-1499,0.05128,0,0.25641,0.07692,0,0.38462,0.23077,0,
pre-1950,1500-2499,0.12,0,0.08,0.22,0.14,0.34,0.02,0.08,
pre-1950,2500-3499,0.11765,0,0.29412,0.29412,0.17647,0.11765,0,0,
pre-1950,3500-4499,0.5,0,0,0.33333,0,0.0,0,0.16667,
pre-1950,4500+,0,0,0,0,0,0,0,0,
1950s,0-1499,0,0,0.11111,0.27778,0,0.5,0.11111,0,
1950s,1500-2499,0.04762,0,0.09524,0.28571,0.28571,0.04762,0.04762,0.19048,
1950s,2500-3499,0,0,0,0.25,0.25,0.125,0,0.375,
1950s,3500-4499,0,0,0,1.0,0,0.0,0,0,
1950s,4500+,0,0,0,0,0,0,0,0,
1960s,0-1499,0.14286,0,0.2381,0.38095,0.04762,0.09524,0.09524,0,
1960s,1500-2499,0.34375,0,0.15625,0.3125,0,0.125,0,0.0625,
1960s,2500-3499,0.63636,0,0.18182,0.18182,0,0.0,0,0,
1960s,3500-4499,0,0,0,0.2,0.8,0.0,0,0,
1960s,4500+,0,0,0,0,0,0,0,0,
1970s,0-1499,0.2,0,0.04,0.28,0.16,0.24,0.04,0.04,
1970s,1500-2499,0.27027,0.02703,0.05405,0.32432,0.13514,0.08108,0.05405,0.05405,
1970s,2500-3499,0,0,0,0.125,0.4375,0.0,0,0.4375,
1970s,3500-4499,0,0,0,0,1.0,0.0,0,0,
1970s,4500+,1.0,0,0,0,0,0.0,0,0,
1980s,0-1499,0.28571,0,0,0.14286,0.5,0.0,0.07143,0,
1980s,1500-2499,0.26087,0,0.08696,0.08696,0.21739,0.0,0.08696,0.26087,
1980s,2500-3499,0,0.1,0,0.3,0.4,0.2,0,0,
1980s,3500-4499,0,0,0,0.75,0.25,0.0,0,0,
1980s,4500+,1.0,0,0,0,0,0.0,0,0,
1990s,0-1499,0.22222,0,0,0.44444,0,0.27778,0,0.05556,
1990s,1500-2499,0.59259,0.07407,0,0.11111,0.14815,0.0,0,0.07407,
1990s,2500-3499,0.07143,0,0,0.64286,0.14286,0.0,0,0.14286,
1990s,3500-4499,0.125,0,0,0,0.375,0.25,0,0.25,
1990s,4500+,0,0,0,0,1.0,0.0,0,0,
2000s,0-1499,0.3,0.1,0,0.2,0.2,0.0,0.1,0.1,
2000s,1500-2499,0.2069,0,0.03448,0.13793,0.34483,0.06897,0,0.2069,
2000s,2500-3499,0,0.10526,0,0,0.15789,0.31579,0,0.42105,
2000s,3500-4499,0.2,0,0,0,0.6,0.0,0,0.2,
2000s,4500+,0,0,0,0,0,0.0,0,1.0,
2010s,0-1499,0,0,0,0,0,0,0,0,
2010s,1500-2499,0.66667,0,0,0,0.33333,0.0,0,0,
2010s,2500-3499,0,0,0,0,0,0,0,0,
2010s,3500-4499,0,0,0,0,0,0.0,1.0,0,
2010s,4500+,0,0,0,0,0,0,0,0,
