Annual Name,Annual Units,Timeseries ResStock Name,Timeseries BuildStockBatch Name,Timeseries Units,Notes
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_clothes_dryer_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Clothes Dryer,emissions__co2e__lrmer_midcase_15__coal__clothes_dryer__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_fireplace_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Fireplace,emissions__co2e__lrmer_midcase_15__coal__fireplace__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_generator_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Generator,emissions__co2e__lrmer_midcase_15__coal__generator__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_grill_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Grill,emissions__co2e__lrmer_midcase_15__coal__grill__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_heating_heat_pump_backup_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Heating Heat Pump Backup,emissions__co2e__lrmer_midcase_15__coal__heating_heat_pump_backup__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_heating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Heating,emissions__co2e__lrmer_midcase_15__coal__heating__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_hot_water_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Hot Water,emissions__co2e__lrmer_midcase_15__coal__hot_water__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_lighting_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Lighting,emissions__co2e__lrmer_midcase_15__coal__lighting__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_mech_vent_preheating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Mech Vent Preheating,emissions__co2e__lrmer_midcase_15__coal__mech_vent_preheating__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_range_oven_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Range/Oven,emissions__co2e__lrmer_midcase_15__coal__range_oven__lb,lb,Scenario emissions for this Coal end use only
