Parameter,Options,Notes
build_existing_model.ahs_region,A|B|C,TODO
build_existing_model.aiannh_area,A|B|C,TODO
build_existing_model.area_median_income,A|B|C,TODO
build_existing_model.ashrae_iecc_climate_zone_2004,A|B|C,TODO
build_existing_model.ashrae_iecc_climate_zone_2004_2_a_split,A|B|C,TODO
build_existing_model.bathroom_spot_vent_hour,A|B|C,TODO
build_existing_model.battery,A|B|C,TODO
build_existing_model.bedrooms,A|B|C,TODO
build_existing_model.building_america_climate_zone,A|B|C,TODO
build_existing_model.cec_climate_zone,A|B|C,TODO
build_existing_model.ceiling_fan,A|B|C,TODO
build_existing_model.census_division,A|B|C,TODO
build_existing_model.census_division_recs,A|B|C,TODO
build_existing_model.census_region,A|B|C,TODO
build_existing_model.city,A|B|C,TODO
build_existing_model.clothes_dryer,A|B|C,TODO
build_existing_model.clothes_washer,A|B|C,TODO
build_existing_model.clothes_washer_presence,A|B|C,TODO
build_existing_model.cooking_range,A|B|C,TODO
build_existing_model.cooling_setpoint,A|B|C,TODO
build_existing_model.cooling_setpoint_has_offset,A|B|C,TODO
build_existing_model.cooling_setpoint_offset_magnitude,A|B|C,TODO
build_existing_model.cooling_setpoint_offset_period,A|B|C,TODO
build_existing_model.corridor,A|B|C,TODO
build_existing_model.county,A|B|C,TODO
build_existing_model.county_and_puma,A|B|C,TODO
build_existing_model.dehumidifier,A|B|C,TODO
build_existing_model.dishwasher,A|B|C,TODO
build_existing_model.door_area,A|B|C,TODO
build_existing_model.doors,A|B|C,TODO
build_existing_model.ducts,A|B|C,TODO
build_existing_model.eaves,A|B|C,TODO
build_existing_model.electric_vehicle,A|B|C,TODO
build_existing_model.federal_poverty_level,A|B|C,TODO
build_existing_model.generation_and_emissions_assessment_region,A|B|C,TODO
build_existing_model.geometry_attic_type,A|B|C,TODO
build_existing_model.geometry_building_horizontal_location_mf,A|B|C,TODO
build_existing_model.geometry_building_horizontal_location_sfa,A|B|C,TODO
build_existing_model.geometry_building_level_mf,A|B|C,TODO
build_existing_model.geometry_building_number_units_mf,A|B|C,TODO
build_existing_model.geometry_building_number_units_sfa,A|B|C,TODO
build_existing_model.geometry_building_type_acs,A|B|C,TODO
build_existing_model.geometry_building_type_height,A|B|C,TODO
build_existing_model.geometry_building_type_recs,A|B|C,TODO
build_existing_model.geometry_floor_area,A|B|C,TODO
build_existing_model.geometry_floor_area_bin,A|B|C,TODO
build_existing_model.geometry_foundation_type,A|B|C,TODO
build_existing_model.geometry_garage,A|B|C,TODO
build_existing_model.geometry_stories,A|B|C,TODO
build_existing_model.geometry_stories_low_rise,A|B|C,TODO
build_existing_model.geometry_story_bin,A|B|C,TODO
build_existing_model.geometry_wall_exterior_finish,A|B|C,TODO
build_existing_model.geometry_wall_type,A|B|C,TODO
build_existing_model.has_pv,A|B|C,TODO
build_existing_model.heating_fuel,A|B|C,TODO
build_existing_model.heating_setpoint,A|B|C,TODO
build_existing_model.heating_setpoint_has_offset,A|B|C,TODO
build_existing_model.heating_setpoint_offset_magnitude,A|B|C,TODO
build_existing_model.heating_setpoint_offset_period,A|B|C,TODO
build_existing_model.holiday_lighting,A|B|C,TODO
build_existing_model.hot_water_distribution,A|B|C,TODO
build_existing_model.hot_water_fixtures,A|B|C,TODO
build_existing_model.household_has_tribal_persons,A|B|C,TODO
build_existing_model.hvac_cooling_efficiency,A|B|C,TODO
build_existing_model.hvac_cooling_partial_space_conditioning,A|B|C,TODO
build_existing_model.hvac_cooling_type,A|B|C,TODO
build_existing_model.hvac_has_ducts,A|B|C,TODO
build_existing_model.hvac_has_shared_system,A|B|C,TODO
build_existing_model.hvac_has_zonal_electric_heating,A|B|C,TODO
build_existing_model.hvac_heating_efficiency,A|B|C,TODO
build_existing_model.hvac_heating_type,A|B|C,TODO
build_existing_model.hvac_heating_type_and_fuel,A|B|C,TODO
build_existing_model.hvac_secondary_heating_efficiency,A|B|C,TODO
build_existing_model.hvac_secondary_heating_type_and_fuel,A|B|C,TODO
build_existing_model.hvac_shared_efficiencies,A|B|C,TODO
build_existing_model.hvac_system_is_faulted,A|B|C,TODO
build_existing_model.hvac_system_single_speed_ac_airflow,A|B|C,TODO
build_existing_model.hvac_system_single_speed_ac_charge,A|B|C,TODO
build_existing_model.hvac_system_single_speed_ashp_airflow,A|B|C,TODO
build_existing_model.hvac_system_single_speed_ashp_charge,A|B|C,TODO
build_existing_model.income,A|B|C,TODO
build_existing_model.income_recs_2015,A|B|C,TODO
build_existing_model.income_recs_2020,A|B|C,TODO
build_existing_model.infiltration,A|B|C,TODO
build_existing_model.insulation_ceiling,A|B|C,TODO
build_existing_model.insulation_floor,A|B|C,TODO
build_existing_model.insulation_foundation_wall,A|B|C,TODO
build_existing_model.insulation_rim_joist,A|B|C,TODO
build_existing_model.insulation_roof,A|B|C,TODO
build_existing_model.insulation_slab,A|B|C,TODO
build_existing_model.insulation_wall,A|B|C,TODO
build_existing_model.interior_shading,A|B|C,TODO
build_existing_model.iso_rto_region,A|B|C,TODO
build_existing_model.lighting,A|B|C,TODO
build_existing_model.lighting_interior_use,A|B|C,TODO
build_existing_model.lighting_other_use,A|B|C,TODO
build_existing_model.location_region,A|B|C,TODO
build_existing_model.mechanical_ventilation,A|B|C,TODO
build_existing_model.misc_extra_refrigerator,A|B|C,TODO
build_existing_model.misc_freezer,A|B|C,TODO
build_existing_model.misc_gas_fireplace,A|B|C,TODO
build_existing_model.misc_gas_grill,A|B|C,TODO
build_existing_model.misc_gas_lighting,A|B|C,TODO
build_existing_model.misc_hot_tub_spa,A|B|C,TODO
build_existing_model.misc_pool,A|B|C,TODO
build_existing_model.misc_pool_heater,A|B|C,TODO
build_existing_model.misc_pool_pump,A|B|C,TODO
build_existing_model.misc_well_pump,A|B|C,TODO
build_existing_model.natural_ventilation,A|B|C,TODO
build_existing_model.neighbors,A|B|C,TODO
build_existing_model.occupants,A|B|C,TODO
build_existing_model.orientation,A|B|C,TODO
build_existing_model.overhangs,A|B|C,TODO
build_existing_model.plug_load_diversity,A|B|C,TODO
build_existing_model.plug_loads,A|B|C,TODO
build_existing_model.puma,A|B|C,TODO
build_existing_model.puma_metro_status,A|B|C,TODO
build_existing_model.pv_orientation,A|B|C,TODO
build_existing_model.pv_system_size,A|B|C,TODO
build_existing_model.radiant_barrier,A|B|C,TODO
build_existing_model.range_spot_vent_hour,A|B|C,TODO
build_existing_model.reeds_balancing_area,A|B|C,TODO
build_existing_model.refrigerator,A|B|C,TODO
build_existing_model.roof_material,A|B|C,TODO
build_existing_model.sample_weight,A|B|C,TODO
build_existing_model.solar_hot_water,A|B|C,TODO
build_existing_model.state,A|B|C,TODO
build_existing_model.tenure,A|B|C,TODO
build_existing_model.usage_level,A|B|C,TODO
build_existing_model.vacancy_status,A|B|C,TODO
build_existing_model.vintage,A|B|C,TODO
build_existing_model.vintage_acs,A|B|C,TODO
build_existing_model.water_heater_efficiency,A|B|C,TODO
build_existing_model.water_heater_fuel,A|B|C,TODO
build_existing_model.water_heater_in_unit,A|B|C,TODO
build_existing_model.weather_file_city,A|B|C,TODO
build_existing_model.weather_file_latitude,A|B|C,TODO
build_existing_model.weather_file_longitude,A|B|C,TODO
build_existing_model.window_areas,A|B|C,TODO
build_existing_model.windows,A|B|C,TODO
