Annual Name,Annual Units,Timeseries Name,Timeseries Units,Notes
report_utility_bills.bills_coal_energy_usd,$,,,Scenario annual energy charges for coal.
report_utility_bills.bills_coal_fixed_usd,$,,,Scenario annual fixed charges for coal.
report_utility_bills.bills_coal_total_usd,$,,,Scenario annual total charges for coal.
report_utility_bills.bills_electricity_energy_usd,$,,,Scenario annual energy charges for electricity.
report_utility_bills.bills_electricity_fixed_usd,$,,,Scenario annual fixed charges for electricity.
report_utility_bills.bills_electricity_pv_credit_usd,$,,,Scenario annual production credit (negative value) for PV.
report_utility_bills.bills_electricity_total_usd,$,,,Scenario annual total charges for electricity.
report_utility_bills.bills_fuel_oil_energy_usd,$,,,Scenario annual energy charges for fuel oil.
report_utility_bills.bills_fuel_oil_fixed_usd,$,,,Scenario annual fixed charges for fuel oil.
report_utility_bills.bills_fuel_oil_total_usd,$,,,Scenario annual total charges for fuel oil.
report_utility_bills.bills_natural_gas_energy_usd,$,,,Scenario annual energy charges for natural gas.
report_utility_bills.bills_natural_gas_fixed_usd,$,,,Scenario annual fixed charges for natural gas.
report_utility_bills.bills_natural_gas_total_usd,$,,,Scenario annual total charges for natural gas.
report_utility_bills.bills_propane_energy_usd,$,,,Scenario annual energy charges for propane.
report_utility_bills.bills_propane_fixed_usd,$,,,Scenario annual fixed charges for propane.
report_utility_bills.bills_propane_total_usd,$,,,Scenario annual total charges for propane.
report_utility_bills.bills_total_usd,$,,,Scenario annual total charges.
report_utility_bills.bills_wood_cord_energy_usd,$,,,Scenario annual energy charges for wood cord.
report_utility_bills.bills_wood_cord_fixed_usd,$,,,Scenario annual fixed charges for wood cord.
report_utility_bills.bills_wood_cord_total_usd,$,,,Scenario annual total charges for wood cord.
report_utility_bills.bills_wood_pellets_energy_usd,$,,,Scenario annual energy charges for wood pellets.
report_utility_bills.bills_wood_pellets_fixed_usd,$,,,Scenario annual fixed charges for wood pellets.
report_utility_bills.bills_wood_pellets_total_usd,$,,,Scenario annual total charges for wood pellets.
