Annual Name,Annual Units,Timeseries Name,Timeseries Units,Notes
report_simulation_output.end_use_coal_clothes_dryer_m_btu,MBtu,End Use: Coal: Clothes Dryer,kBtu,
report_simulation_output.end_use_coal_fireplace_m_btu,MBtu,End Use: Coal: Fireplace,kBtu,
report_simulation_output.end_use_coal_generator_m_btu,MBtu,End Use: Coal: Generator,kBtu,
report_simulation_output.end_use_coal_grill_m_btu,MBtu,End Use: Coal: Grill,kBtu,
report_simulation_output.end_use_coal_heating_heat_pump_backup_m_btu,MBtu,End Use: Coal: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_coal_heating_m_btu,MBtu,End Use: Coal: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_coal_hot_water_m_btu,MBtu,End Use: Coal: Hot Water,kBtu,
report_simulation_output.end_use_coal_lighting_m_btu,MBtu,End Use: Coal: Lighting,kBtu,
report_simulation_output.end_use_coal_mech_vent_preheating_m_btu,MBtu,End Use: Coal: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_coal_range_oven_m_btu,MBtu,End Use: Coal: Range/Oven,kBtu,
report_simulation_output.end_use_electricity_battery_m_btu,MBtu,End Use: Electricity: Battery,kWh,Positive value for charging (including efficiency losses); negative value for discharging
report_simulation_output.end_use_electricity_ceiling_fan_m_btu,MBtu,End Use: Electricity: Ceiling Fan,kWh,
report_simulation_output.end_use_electricity_clothes_dryer_m_btu,MBtu,End Use: Electricity: Clothes Dryer,kWh,
report_simulation_output.end_use_electricity_clothes_washer_m_btu,MBtu,End Use: Electricity: Clothes Washer,kWh,
report_simulation_output.end_use_electricity_cooling_fans_pumps_m_btu,MBtu,End Use: Electricity: Cooling Fans/Pumps,kWh,Supply fan (air distribution) or circulating pump (geothermal loop)
report_simulation_output.end_use_electricity_cooling_m_btu,MBtu,End Use: Electricity: Cooling,kWh,Excludes fans/pumps
report_simulation_output.end_use_electricity_dehumidifier_m_btu,MBtu,End Use: Electricity: Dehumidifier,kWh,
report_simulation_output.end_use_electricity_dishwasher_m_btu,MBtu,End Use: Electricity: Dishwasher,kWh,
report_simulation_output.end_use_electricity_electric_vehicle_charging_m_btu,MBtu,End Use: Electricity: Electric Vehicle Charging,kWh,
report_simulation_output.end_use_electricity_freezer_m_btu,MBtu,End Use: Electricity: Freezer,kWh,
report_simulation_output.end_use_electricity_generator_m_btu,MBtu,End Use: Electricity: Generator,kWh,Negative value for any power produced
report_simulation_output.end_use_electricity_heating_fans_pumps_m_btu,MBtu,End Use: Electricity: Heating Fans/Pumps,kWh,Supply fan (air distribution) or circulating pump (hydronic distribution or geothermal loop)
report_simulation_output.end_use_electricity_heating_heat_pump_backup_m_btu,MBtu,End Use: Electricity: Heating Heat Pump Backup,kWh,
report_simulation_output.end_use_electricity_heating_m_btu,MBtu,End Use: Electricity: Heating,kWh,Excludes heat pump backup and fans/pumps
report_simulation_output.end_use_electricity_hot_tub_heater_m_btu,MBtu,End Use: Electricity: Hot Tub Heater,kWh,
report_simulation_output.end_use_electricity_hot_tub_pump_m_btu,MBtu,End Use: Electricity: Hot Tub Pump,kWh,
report_simulation_output.end_use_electricity_hot_water_m_btu,MBtu,End Use: Electricity: Hot Water,kWh,Excludes recirc pump and solar thermal pump
report_simulation_output.end_use_electricity_hot_water_recirc_pump_m_btu,MBtu,End Use: Electricity: Hot Water Recirc Pump,kWh,
report_simulation_output.end_use_electricity_hot_water_solar_thermal_pump_m_btu,MBtu,End Use: Electricity: Hot Water Solar Thermal Pump,kWh,Non-zero only when using detailed (not simple) solar thermal inputs
report_simulation_output.end_use_electricity_lighting_exterior_m_btu,MBtu,End Use: Electricity: Lighting Exterior,kWh,Includes exterior holiday lighting
report_simulation_output.end_use_electricity_lighting_garage_m_btu,MBtu,End Use: Electricity: Lighting Garage,kWh,
report_simulation_output.end_use_electricity_lighting_interior_m_btu,MBtu,End Use: Electricity: Lighting Interior,kWh,
report_simulation_output.end_use_electricity_mech_vent_m_btu,MBtu,End Use: Electricity: Mech Vent,kWh,Excludes preheating/precooling
report_simulation_output.end_use_electricity_mech_vent_precooling_m_btu,MBtu,End Use: Electricity: Mech Vent Precooling,kWh,
report_simulation_output.end_use_electricity_mech_vent_preheating_m_btu,MBtu,End Use: Electricity: Mech Vent Preheating,kWh,
report_simulation_output.end_use_electricity_plug_loads_m_btu,MBtu,End Use: Electricity: Plug Loads,kWh,"Excludes independently reported plug loads (e.g., well pump)"
report_simulation_output.end_use_electricity_pool_heater_m_btu,MBtu,End Use: Electricity: Pool Heater,kWh,
report_simulation_output.end_use_electricity_pool_pump_m_btu,MBtu,End Use: Electricity: Pool Pump,kWh,
report_simulation_output.end_use_electricity_pv_m_btu,MBtu,End Use: Electricity: PV,kWh,Negative value for any power produced
report_simulation_output.end_use_electricity_range_oven_m_btu,MBtu,End Use: Electricity: Range/Oven,kWh,
report_simulation_output.end_use_electricity_refrigerator_m_btu,MBtu,End Use: Electricity: Refrigerator,kWh,
report_simulation_output.end_use_electricity_television_m_btu,MBtu,End Use: Electricity: Television,kWh,
report_simulation_output.end_use_electricity_well_pump_m_btu,MBtu,End Use: Electricity: Well Pump,kWh,
report_simulation_output.end_use_electricity_whole_house_fan_m_btu,MBtu,End Use: Electricity: Whole House Fan,kWh,
report_simulation_output.end_use_fuel_oil_clothes_dryer_m_btu,MBtu,End Use: Fuel Oil: Clothes Dryer,kBtu,
report_simulation_output.end_use_fuel_oil_fireplace_m_btu,MBtu,End Use: Fuel Oil: Fireplace,kBtu,
