"DOEID","REPORTABLE_DOMAIN","DIVISION","HDD30YR","CDD30YR","TMY3_ID","ProvState","Station","HDD65_Annual","CDD65_Annual"
1,12,4,4953,1271,"724450","MO","COLUMBIA REGIONAL","4937.4","1247.4"
2,26,10,2688,143,"724940","CA","SAN FRANCISCO INTL","2689.2","144"
3,1,1,5741,829,"725080","CT","HARTFORD/BRADLEY IN","5934.6","765"
4,7,3,5781,868,"725240","OH","CLEVELAND","5850","774"
5,1,1,5313,797,"725040","CT","BRIDGEPORT/IGOR I.","5274","829.8"
6,10,4,8708,436,"727530","ND","FARGO/HECTOR FIELD","8728.2","554.4"
7,3,2,5355,796,"725170","PA","ALLENTOWN_A.-BETHLE","5551.2","838.8"
8,17,5,1070,2554,"722060","FL","JACKSONVILLE/INTNL.","1326.6","2631.6"
9,5,2,5381,912,"725170","PA","ALLENTOWN_A.-BETHLE","5551.2","838.8"
10,12,4,4755,1467,"724460","MO","KANSAS CITY INTL","5011.2","1371.6"
11,26,10,1335,613,"722950","CA","LOS ANGELES INTL","1294.2","581.4"
12,4,2,4668,1437,"725020","NJ","NEWARK INTL AIRPORT","4687.2","1256.4"
13,27,10,8,3895,"725970","OR","MEDFORD-JACKSON COU","4264.2","833.4"
14,15,5,2180,2252,"722170","GA","MACON/LEWIS B.WILSO","2262.6","2179.8"
15,23,8,4876,1328,"725720","UT","SALT LAKE CITY INTL","5506.2","1218.6"
16,14,5,5222,895,"724089","DE","WILMINGTON NEW CAST","4755.6","1141.2"
17,16,5,3400,1641,"723060","NC","RALEIGH/RALEIGH-DUR","3274.2","1666.8"
18,3,2,4764,1130,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
19,22,8,6736,410,"725780","ID","POCATELLO MUNICIPAL","6937.2","426.6"
20,10,4,7783,651,"726440","MN","ROCHESTER MUNICIPAL","7867.8","514.8"
21,26,10,1299,1390,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
22,7,3,6115,828,"725370","MI","DETROIT/METROPOLITA","6103.8","806.4"
23,3,2,5461,777,"725200","PA","GREATER PITTSBURGH I","5583.6","781.2"
24,17,5,454,3477,"722050","FL","ORLANDO/JETPORT","550.8","3385.8"
25,9,3,8057,442,"726450","WI","GREEN BAY/A.-STRAUB","7599.6","478.8"
26,2,1,6782,573,"725095","MA","WORCESTER REGIONAL ARPT","6706.8","462.6"
27,9,3,8226,364,"726435","WI","CHIPPEWA VALLEY RGN","7801.2","599.4"
28,26,10,1070,1260,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
29,17,5,442,3450,"722050","FL","ORLANDO/JETPORT","550.8","3385.8"
30,21,7,2126,2596,"722480","LA","SHREVEPORT REGIONAL","2116.8","2534.4"
31,2,1,6661,482,"725095","MA","WORCESTER REGIONAL ARPT","6706.8","462.6"
32,26,10,1284,714,"722900","CA","SAN DIEGO/LINDBERGH","1197","673.2"
33,12,4,5290,1234,"724460","MO","KANSAS CITY INTL","5011.2","1371.6"
34,1,1,5303,799,"725040","CT","BRIDGEPORT/IGOR I.","5274","829.8"
35,21,7,1911,2613,"722446","TX","ANGELINA CO","1846.8","2646"
36,14,5,5279,884,"724089","DE","WILMINGTON NEW CAST","4755.6","1141.2"
37,14,5,5443,806,"724170","WV","ELKINS-RANDOLPH COU","5803.2","484.2"
38,12,4,4976,1335,"724450","MO","COLUMBIA REGIONAL","4937.4","1247.4"
39,21,7,2217,2488,"722630","TX","SAN ANGELO/MATHIS","2241","2509.2"
40,18,6,1711,2452,"722230","AL","MOBILE/BATES FIELD","1652.4","2498.4"
41,11,4,6665,775,"725660","NE","SCOTTSBLUFF/HEILIG","6523.2","718.2"
42,26,10,2558,1567,"724830","CA","SACRAMENTO/EXECUTIV","2494.8","1213.2"
43,15,5,3225,1526,"723080","VA","NORFOLK INTL ARPT","3229.2","1699.2"
44,22,8,5826,643,"724699","CO","BOULDER-BROOMFIELD-JEFFERSON COUNTY AP","5749.2","689.4"
