usaf,EPW,Custom Region
690150,USA_CA_Twentynine.Palms.690150_TMY3.epw,CR11
690230,USA_WA_Whidbey.Island.NAS.690230_TMY3.epw,CR06
722010,USA_FL_Key.West.Intl.AP.722010_TMY3.epw,CR09
722020,USA_FL_Miami.Intl.AP.722020_TMY3.epw,CR09
722025,USA_FL_Fort.Lauderdale.Intl.AP.722025_TMY3.epw,CR09
722026,USA_FL_Homestead.AFB.722026_TMY3.epw,CR09
722030,USA_FL_West.Palm.Beach.Intl.AP.722030_TMY3.epw,CR09
722040,USA_FL_Melbourne.Rgnl.AP.722040_TMY3.epw,CR09
722045,USA_FL_Vero.Beach.Muni.AP.722045_TMY3.epw,CR09
722050,USA_FL_Orlando.Intl.AP.722050_TMY3.epw,CR09
722056,USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw,CR09
722060,USA_FL_Jacksonville.Intl.AP.722060_TMY3.epw,CR09
722066,USA_FL_Mayport.NS.722066_TMY3.epw,CR09
722070,USA_GA_Savannah.Intl.AP.722070_TMY3.epw,CR09
722080,USA_SC_Charleston.Intl.AP.722080_TMY3.epw,CR09
722085,USA_SC_Beaufort.MCAS.722085_TMY3.epw,CR09
722106,USA_FL_Fort.Myers-Page.Field.722106_TMY3.epw,CR09
722110,USA_FL_Tampa.Intl.AP.722110_TMY3.epw,CR09
722115,USA_FL_Sarasota-Bradenton.Intl.AP.722115_TMY3.epw,CR09
722135,USA_GA_Alma-Bacon.County.AP.722135_TMY3.epw,CR09
722137,USA_GA_Brunswick-Malcolm.McKinnon.AP.722137_TMY3.epw,CR09
722140,USA_FL_Tallahassee.Rgnl.AP.722140_TMY3.epw,CR09
722146,USA_FL_Gainesville.Rgnl.AP.722146_TMY3.epw,CR09
722160,USA_GA_Albany-Dougherty.County.AP.722160_TMY3.epw,CR09
722170,USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY3.epw,CR09
722180,USA_GA_Augusta-Bush-Field.722180_TMY3.epw,CR09
722190,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,CR09
722210,USA_FL_Valparaiso-Elgin.AFB.722210_TMY3.epw,CR09
722215,USA_FL_Crestview-Bob.Sikes.AP.722215_TMY3.epw,CR09
722223,USA_FL_Pensacola.Rgnl.AP.722223_TMY3.epw,CR09
722230,USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw,CR09
722255,USA_GA_Columbus.Metro.AP.722255_TMY3.epw,CR09
722260,USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw,CR09
722267,USA_AL_Troy.Air.Field.722267_TMY3.epw,CR09
722269,USA_AL_Fort.Rucker-Cairns.Field.722269_TMY3.epw,CR09
722280,USA_AL_Birmingham.Muni.AP.722280_TMY3.epw,CR09
722286,USA_AL_Tuscaloosa.Muni.AP.722286_TMY3.epw,CR09
722287,USA_AL_Anniston.Metro.AP.722287_TMY3.epw,CR09
722310,USA_LA_New.Orleans.Intl.AP.722310_TMY3.epw,CR09
722316,USA_LA_New.Orleans-Alvin.Callender.Field.722316_TMY3.epw,CR09
722329,USA_LA_Patterson.Mem.AP.722329_TMY3.epw,CR09
722340,USA_MS_Meridian-Key.Field.722340_TMY3.epw,CR09
722350,USA_MS_Jackson.Intl.AP.722350_TMY3.epw,CR09
722356,USA_MS_Greenville.Muni.AP.722356_TMY3.epw,CR09
722357,USA_MS_Natchez-Hardy.Anders.Field.722357_TMY3.epw,CR09
722358,USA_MS_McComb-Pike.Co.AP.722358_TMY3.epw,CR09
722359,USA_MS_Greenwood-Leflore.AP.722359_TMY3.epw,CR09
722390,USA_LA_Fort.Polk.722390_TMY3.epw,CR09
722400,USA_LA_Lake.Charles.Rgnl.AP.722400_TMY3.epw,CR09
722405,USA_LA_Lafayette.RgnlAP.722405_TMY3.epw,CR09
722406,USA_LA_Houma-Terrebonne.AP.722406_TMY3.epw,CR09
722410,USA_TX_Port.Arthur-Jefferson.Co.AP.722410_TMY3.epw,CR09
722420,USA_TX_Galveston.722420_TMY3.epw,CR09
722430,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3.epw,CR09
722435,USA_TX_Houston-William.P.Hobby.AP.722435_TMY3.epw,CR09
722445,USA_TX_College.Station-Easterwood.Field.722445_TMY3.epw,CR09
722446,USA_TX_Lufkin-Angelina.Co.AP.722446_TMY3.epw,CR09
722448,USA_TX_Tyler-Pounds.Field.722448_TMY3.epw,CR09
722470,USA_TX_Longview-Gregg.County.AP.722470_TMY3.epw,CR09
722480,USA_LA_Shreveport.Rgnl.AP.722480_TMY3.epw,CR09
722486,USA_LA_Monroe.Rgnl.AP.722486_TMY3.epw,CR09
722487,USA_LA_Alexandria-Esler.Rgnl.AP.722487_TMY3.epw,CR09
722500,USA_TX_Brownsville-South.Padre.Island.AP.722500_TMY3.epw,CR09
722505,USA_TX_Harlingen-Valley.Intl.AP.722505_TMY3.epw,CR09
722506,USA_TX_McAllen-Miller.Intl.AP.722506_TMY3.epw,CR09
722510,USA_TX_Corpus.Christi.Intl.AP.722510_TMY3.epw,CR09
722515,USA_TX_Corpus.Christi.NAS.722515_TMY3.epw,CR09
722516,USA_TX_Kingsville.722516_TMY3.epw,CR09
722517,USA_TX_Alice.Intl.AP.722517_TMY3.epw,CR09
722520,USA_TX_Laredo.Intl.AP.722520_TMY3.epw,CR09
722526,USA_TX_Cotulla.AP.722526_TMY3.epw,CR09
722530,USA_TX_San.Antonio.Intl.AP.722530_TMY3.epw,CR09
722540,USA_TX_Austin-Mueller.Muni.AP.722540_TMY3.epw,CR09
722550,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw,CR09
722555,USA_TX_Palacios.Muni.AP.722555_TMY3.epw,CR09
