Dependency=Location	Dependency=Vintage	Dependency=Heating Fuel	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+
AL_Birmingham.Muni.AP.722280	<1950	Natural Gas	0.25	0.25	0.25	0.25
AL_Birmingham.Muni.AP.722280	1950s	Natural Gas	0.25	0.25	0.25	0.25
AL_Birmingham.Muni.AP.722280	1960s	Natural Gas	0.25	0.25	0.25	0.25
AL_Birmingham.Muni.AP.722280	1970s	Natural Gas	0.25	0.25	0.25	0.25
AL_Birmingham.Muni.AP.722280	1980s	Natural Gas	0.25	0.25	0.25	0.25
AL_Birmingham.Muni.AP.722280	1990s	Natural Gas	0.25	0.25	0.25	0.25
AL_Birmingham.Muni.AP.722280	2000s	Natural Gas	0.25	0.25	0.25	0.25
AL_Huntsville.Intl.AP-Jones.Field.723230	<1950	Natural Gas	0.25	0.25	0.25	0.25
AL_Huntsville.Intl.AP-Jones.Field.723230	1950s	Natural Gas	0.25	0.25	0.25	0.25
AL_Huntsville.Intl.AP-Jones.Field.723230	1960s	Natural Gas	0.25	0.25	0.25	0.25
AL_Huntsville.Intl.AP-Jones.Field.723230	1970s	Natural Gas	0.25	0.25	0.25	0.25
AL_Huntsville.Intl.AP-Jones.Field.723230	1980s	Natural Gas	0.25	0.25	0.25	0.25
AL_Huntsville.Intl.AP-Jones.Field.723230	1990s	Natural Gas	0.25	0.25	0.25	0.25
AL_Huntsville.Intl.AP-Jones.Field.723230	2000s	Natural Gas	0.25	0.25	0.25	0.25
AL_Mobile-Rgnl.AP.722230	<1950	Natural Gas	0.25	0.25	0.25	0.25
AL_Mobile-Rgnl.AP.722230	1950s	Natural Gas	0.25	0.25	0.25	0.25
AL_Mobile-Rgnl.AP.722230	1960s	Natural Gas	0.25	0.25	0.25	0.25
AL_Mobile-Rgnl.AP.722230	1970s	Natural Gas	0.25	0.25	0.25	0.25
AL_Mobile-Rgnl.AP.722230	1980s	Natural Gas	0.25	0.25	0.25	0.25
AL_Mobile-Rgnl.AP.722230	1990s	Natural Gas	0.25	0.25	0.25	0.25
AL_Mobile-Rgnl.AP.722230	2000s	Natural Gas	0.25	0.25	0.25	0.25
AL_Montgomery-Dannelly.Field.722260	<1950	Natural Gas	0.25	0.25	0.25	0.25
AL_Montgomery-Dannelly.Field.722260	1950s	Natural Gas	0.25	0.25	0.25	0.25
AL_Montgomery-Dannelly.Field.722260	1960s	Natural Gas	0.25	0.25	0.25	0.25
AL_Montgomery-Dannelly.Field.722260	1970s	Natural Gas	0.25	0.25	0.25	0.25
AL_Montgomery-Dannelly.Field.722260	1980s	Natural Gas	0.25	0.25	0.25	0.25
AL_Montgomery-Dannelly.Field.722260	1990s	Natural Gas	0.25	0.25	0.25	0.25
