Dependency=Heating Fuel	Dependency=Location Region	"Option=Gas, 100% Usage"	"Option=Propane, 100% Usage"	"Option=Electric, 100% Usage"	Option=None
Electricity	CR01	0	0	1	0
Electricity	CR02	0	0	1	0
Electricity	CR05	0	0	1	0
Electricity	CR03	0	0	1	0
Electricity	CR04	0	0	1	0
Electricity	CR06	0	0	1	0
Electricity	CR07	0	0	1	0
Electricity	CR08	0	0	1	0
Electricity	CR09	0	0	1	0
Electricity	CR10	0	0	1	0
Electricity	CR11	1	0	0	0
Electricity	CR12	0	0	0	1
Fuel Oil	CR01	0	0	0	1
Fuel Oil	CR02	0	0	1	0
Fuel Oil	CR05	0	0	0	1
Fuel Oil	CR03	0	0	1	0
Fuel Oil	CR04	0	0	1	0
Fuel Oil	CR06	0	0	1	0
Fuel Oil	CR07	0	0	1	0
Fuel Oil	CR08	0	0	1	0
Fuel Oil	CR09	0	0	1	0
Fuel Oil	CR10	0	0	1	0
Fuel Oil	CR11	0	1	0	0
Fuel Oil	CR12	0	0	0	1
Natural Gas	CR01	0	0	1	0
Natural Gas	CR02	0	0	1	0
Natural Gas	CR05	0	0	1	0
Natural Gas	CR03	1	0	0	0
Natural Gas	CR04	1	0	0	0
Natural Gas	CR06	0	0	1	0
Natural Gas	CR07	1	0	0	0
Natural Gas	CR08	0	0	1	0
Natural Gas	CR09	1	0	0	0
Natural Gas	CR10	1	0	0	0
Natural Gas	CR11	1	0	0	0
Natural Gas	CR12	0	0	0	1
None	CR01	0	0	0	1
None	CR02	0	0	0	1
None	CR05	0	0	1	0
None	CR03	0	0	0	1
None	CR04	0	0	0	1
None	CR06	0	0	0	1
None	CR07	0	0	0	1
None	CR08	0	0	0	1
None	CR09	0	0	1	0
None	CR10	0	0	1	0
None	CR11	1	0	0	0
None	CR12	0	0	1	0
Other Fuel	CR01	0	0	1	0
Other Fuel	CR02	0	0	1	0
Other Fuel	CR05	0	0	1	0
Other Fuel	CR03	0	0	1	0
Other Fuel	CR04	0	0	1	0
Other Fuel	CR06	0	0	1	0
Other Fuel	CR07	0	0	1	0
Other Fuel	CR08	0	0	1	0
Other Fuel	CR09	0	0	1	0
Other Fuel	CR10	0	0	1	0
Other Fuel	CR11	0	0	1	0
Other Fuel	CR12	0	0	0	1
Propane	CR01	0	0	0	1
Propane	CR02	0	0	1	0
Propane	CR05	0	1	0	0
Propane	CR03	0	0	1	0
Propane	CR04	0	0	1	0
Propane	CR06	0	0	1	0
Propane	CR07	0	1	0	0
Propane	CR08	0	0	1	0
Propane	CR09	0	0	1	0
Propane	CR10	0	0	1	0
Propane	CR11	0	0	1	0
Propane	CR12	0	0	0	1
