Dependency=Heating Fuel	Dependency=Location Region	Dependency=Usage Level	"Option=Gas, 100% Usage"	"Option=Propane, 100% Usage"	"Option=Electric, 100% Usage"	Option=None
Electricity	CR01	Average	0	0	1	0
Electricity	CR02	Average	0	0	1	0
Electricity	CR03	Average	0	0	1	0
Electricity	CR04	Average	0	0	1	0
Electricity	CR05	Average	0	0	1	0
Electricity	CR06	Average	0	0	1	0
Electricity	CR07	Average	0	0	1	0
Electricity	CR08	Average	0	0	1	0
Electricity	CR09	Average	0	0	1	0
Electricity	CR10	Average	0	0	1	0
Electricity	CR11	Average	0	0	1	0
Electricity	CR12	Average	0	0	0	1
Fuel Oil	CR01	Average	0	0	0	1
Fuel Oil	CR02	Average	0	0	1	0
Fuel Oil	CR03	Average	0	0	1	0
Fuel Oil	CR04	Average	0	0	1	0
Fuel Oil	CR05	Average	0	0	0	1
Fuel Oil	CR06	Average	0	0	1	0
Fuel Oil	CR07	Average	0	0	1	0
Fuel Oil	CR08	Average	0	0	1	0
Fuel Oil	CR09	Average	0	0	1	0
Fuel Oil	CR10	Average	0	0	1	0
Fuel Oil	CR11	Average	0	1	0	0
Fuel Oil	CR12	Average	0	0	0	1
Natural Gas	CR01	Average	0	0	1	0
Natural Gas	CR02	Average	0	0	1	0
Natural Gas	CR03	Average	0	0	1	0
Natural Gas	CR04	Average	0	0	1	0
Natural Gas	CR05	Average	0	0	1	0
Natural Gas	CR06	Average	0	0	1	0
Natural Gas	CR07	Average	1	0	0	0
Natural Gas	CR08	Average	0	0	1	0
Natural Gas	CR09	Average	0	0	1	0
Natural Gas	CR10	Average	0	0	1	0
Natural Gas	CR11	Average	1	0	0	0
Natural Gas	CR12	Average	0	0	0	1
None	CR01	Average	0	0	0	1
None	CR02	Average	0	0	0	1
None	CR03	Average	0	0	0	1
None	CR04	Average	0	0	0	1
None	CR05	Average	0	0	1	0
None	CR06	Average	0	0	0	1
None	CR07	Average	0	0	0	1
None	CR08	Average	0	0	0	1
None	CR09	Average	0	0	1	0
None	CR10	Average	0	0	1	0
None	CR11	Average	1	0	0	0
None	CR12	Average	0	0	1	0
Other Fuel	CR01	Average	0	0	1	0
Other Fuel	CR02	Average	0	0	1	0
Other Fuel	CR03	Average	0	0	1	0
Other Fuel	CR04	Average	0	0	1	0
Other Fuel	CR05	Average	0	0	1	0
Other Fuel	CR06	Average	0	0	1	0
Other Fuel	CR07	Average	0	0	1	0
Other Fuel	CR08	Average	0	0	1	0
Other Fuel	CR09	Average	0	0	1	0
Other Fuel	CR10	Average	0	0	1	0
Other Fuel	CR11	Average	0	0	1	0
Other Fuel	CR12	Average	0	0	0	1
Propane	CR01	Average	0	0	0	1
Propane	CR02	Average	0	0	1	0
Propane	CR03	Average	0	0	1	0
Propane	CR04	Average	0	0	1	0
Propane	CR05	Average	0	0	1	0
Propane	CR06	Average	0	0	1	0
Propane	CR07	Average	0	0	1	0
Propane	CR08	Average	0	0	1	0
Propane	CR09	Average	0	0	1	0
Propane	CR10	Average	0	0	1	0
Propane	CR11	Average	0	0	1	0
Propane	CR12	Average	0	0	0	1
