Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Option=None	"Option=AC, SEER 8"	"Option=AC, SEER 10"	"Option=AC, SEER 13"	"Option=AC, SEER 15"	"Option=FIXME Room AC, EER 8.5, 20% Conditioned"	"Option=FIXME Room AC, EER 10.7, 20% Conditioned"
CR02	1950s	Electricity	No	0.333333333	0.029905896	0.176823487	0.108830625	0.017773326	0.111111111	0.222222222
CR02	1960s	Electricity	No	0.333333333	0.029084924	0.172430177	0.111962182	0.019856051	0.111111111	0.222222222
CR02	1970s	Electricity	No	0.333333333	0.036539468	0.169421592	0.108171226	0.019201047	0.111111112	0.222222222
CR02	1980s	Electricity	No	0.333333333	0.049513236	0.160108057	0.104815992	0.018896048	0.111111111	0.222222222
CR02	1990s	Electricity	No	0.333333333	0.010729765	0.199745725	0.106602103	0.016255739	0.111111111	0.222222222
CR02	2000s	Electricity	No	0.333333333	0	0.159479168	0.1537323	0.020121866	0.111111111	0.222222222
CR02	<1950	Electricity	No	0.333333333	0.021690216	0.174241205	0.117370774	0.020031139	0.111111111	0.222222222
CR05	1950s	Electricity	No	0.333333333	0.083333333	0.083333333	0.083333333	0.083333333	0.111111111	0.222222222
CR05	1960s	Electricity	No	0.333333333	0.029084924	0.172430176	0.111962182	0.019856052	0.111111108	0.222222225
CR05	1970s	Electricity	No	0.333333333	0.036539469	0.169421592	0.108171226	0.019201047	0.111111111	0.222222222
CR05	1980s	Electricity	No	0.333333333	0.049513237	0.160108056	0.104815992	0.018896049	0.111111112	0.222222222
CR05	1990s	Electricity	No	0.333333333	0.010729766	0.199745725	0.106602103	0.016255739	0.111111111	0.222222222
CR05	2000s	Electricity	No	0.333333333	0	0.159479168	0.153732299	0.020121866	0.111111111	0.222222222
CR05	<1950	Electricity	No	0.333333333	0.021690215	0.174241204	0.117370775	0.020031139	0.111111111	0.222222222
CR03	1950s	Electricity	No	0.333333333	0.029905897	0.176823486	0.108830624	0.017773326	0.111111111	0.222222222
CR03	1960s	Electricity	No	0.333333333	0.029084925	0.172430176	0.111962181	0.019856052	0.111111111	0.222222222
CR03	1970s	Electricity	No	0.333333333	0.036539468	0.169421592	0.108171226	0.019201048	0.111111111	0.222222222
CR03	1980s	Electricity	No	0.333333333	0.049513237	0.160108056	0.104815992	0.018896049	0.111111111	0.222222222
CR03	1990s	Electricity	No	0.333333333	0.010729765	0.199745726	0.106602103	0.016255739	0.111111111	0.222222222
CR03	2000s	Electricity	No	0.333333333	0	0.159479168	0.153732299	0.020121866	0.111111111	0.222222223
CR03	<1950	Electricity	No	0.333333333	0.021690214	0.174241205	0.117370775	0.020031139	0.111111111	0.222222222
CR04	1950s	Electricity	No	0.333333333	0.029905896	0.176823486	0.108830625	0.017773326	0.111111111	0.222222223
CR04	1960s	Electricity	No	0.333333333	0.029084924	0.172430176	0.111962182	0.019856052	0.111111111	0.222222222
CR04	1970s	Electricity	No	0.333333333	0.036539468	0.169421592	0.108171226	0.019201047	0.111111111	0.222222222
CR04	1980s	Electricity	No	0.333333333	0.049513236	0.160108057	0.104815992	0.018896048	0.11111111	0.222222223
CR04	1990s	Electricity	No	0.333333333	0.010729765	0.199745726	0.106602103	0.016255739	0.111111115	0.222222218
CR04	2000s	Electricity	No	0.333333333	0	0.159479168	0.153732299	0.020121866	0.111111111	0.222222222
CR04	<1950	Electricity	No	0.333333333	0.021690216	0.174241204	0.117370774	0.020031139	0.111111111	0.222222222
CR06	1950s	Electricity	No	0.333333333	0.029905896	0.176823486	0.108830625	0.017773326	0.111111111	0.222222222
CR06	1960s	Electricity	No	0.333333333	0.083333333	0.083333333	0.083333333	0.083333333	0.11111111	0.222222223
CR06	1970s	Electricity	No	0.333333333	0.083333333	0.083333333	0.083333333	0.083333333	0.111111111	0.222222222
CR06	1980s	Electricity	No	0.333333333	0.083333333	0.083333333	0.083333333	0.083333333	0.111111111	0.222222222
CR06	1990s	Electricity	No	0.333333333	0.083333333	0.083333333	0.083333333	0.083333333	0.111111111	0.222222222
CR06	2000s	Electricity	No	0.333333333	0	0.159479167	0.153732299	0.020121867	0.111111111	0.222222222
CR06	<1950	Electricity	No	0.333333333	0.083333333	0.083333333	0.083333333	0.083333333	0.111111111	0.222222222
CR07	1950s	Electricity	No	0.333333333	0.029905896	0.176823486	0.108830625	0.017773326	0.111111111	0.222222222
CR07	1960s	Electricity	No	0.333333333	0.029084924	0.172430176	0.111962182	0.019856052	0.111111111	0.222222222
CR07	1970s	Electricity	No	0.333333333	0.036539468	0.169421592	0.108171226	0.019201047	0.111111111	0.222222222
CR07	1980s	Electricity	No	0.333333333	0.049513237	0.160108056	0.104815991	0.018896049	0.111111111	0.222222223
CR07	1990s	Electricity	No	0.333333333	0.010729766	0.199745726	0.106602103	0.016255739	0.11111111	0.222222223
CR07	2000s	Electricity	No	0.333333333	0.083333333	0.083333333	0.083333333	0.083333333	0.111111111	0.222222222
CR07	<1950	Electricity	No	0.333333333	0.083333333	0.083333333	0.083333333	0.083333333	0.111111111	0.222222222
CR08	1950s	Electricity	No	0.333333333	0.029905896	0.176823487	0.108830625	0.017773326	0.111111111	0.222222222
CR08	1960s	Electricity	No	0.333333333	0.029084924	0.172430177	0.111962181	0.019856052	0.111111111	0.222222222
CR08	1970s	Electricity	No	0.333333333	0.036539468	0.169421592	0.108171226	0.019201047	0.111111111	0.222222222
CR08	1980s	Electricity	No	0.333333333	0.049513236	0.160108057	0.104815992	0.018896049	0.111111111	0.222222223
CR08	1990s	Electricity	No	0.333333333	0.010729765	0.199745725	0.106602103	0.016255739	0.11111111	0.222222223
CR08	2000s	Electricity	No	0.333333333	0	0.159479168	0.153732299	0.020121866	0.111111113	0.22222222
CR08	<1950	Electricity	No	0.333333333	0.021690215	0.174241205	0.117370774	0.020031139	0.111111111	0.222222222
CR09	1950s	Electricity	No	0.333333333	0.029905896	0.176823487	0.108830625	0.017773326	0.111111111	0.222222222
CR09	1960s	Electricity	No	0.333333333	0.029084924	0.172430176	0.111962181	0.019856052	0.111111111	0.222222222
