Dependency=Location Region,Dependency=Vintage,Dependency=Foundation Type,None,Uninsulated,Ceiling R-13,Ceiling R-19,# Samples
H1C1 OR,pre-1950,Unheated Basement,0.0,0.25,0.0,0.75,4
H1C1 OR,1950s,Unheated Basement,0.0,0.0,0.0,1.0,1
H1C1 OR,1960s,Unheated Basement,0,0,0,0,0
H1C1 OR,1970s,Unheated Basement,0,0,0,0,0
H1C1 OR,1980s,Unheated Basement,0,0,0,0,0
H1C1 OR,1990s,Unheated Basement,0,0,0,0,0
H1C1 OR,2000s,Unheated Basement,0,0,0,0,0
H1C1 OR,2010s,Unheated Basement,0,0,0,0,0
H1C1 WA,pre-1950,Unheated Basement,0.0,0.5434782608695652,0.30434782608695654,0.15217391304347827,46
H1C1 WA,1950s,Unheated Basement,0,0,0,0,0
H1C1 WA,1960s,Unheated Basement,0,0,0,0,0
H1C1 WA,1970s,Unheated Basement,0,0,0,0,0
H1C1 WA,1980s,Unheated Basement,0.0,0.16666666666666666,0.3333333333333333,0.5,6
H1C1 WA,1990s,Unheated Basement,0,0,0,0,0
H1C1 WA,2000s,Unheated Basement,0.0,0.0,0.0,1.0,22
H1C1 WA,2010s,Unheated Basement,0,0,0,0,0
H1C2,pre-1950,Unheated Basement,0.0,1.0,0.0,0.0,24
H1C2,1950s,Unheated Basement,0,0,0,0,0
H1C2,1960s,Unheated Basement,0,0,0,0,0
H1C2,1970s,Unheated Basement,0,0,0,0,0
H1C2,1980s,Unheated Basement,0,0,0,0,0
H1C2,1990s,Unheated Basement,0,0,0,0,0
H1C2,2000s,Unheated Basement,0,0,0,0,0
H1C2,2010s,Unheated Basement,0,0,0,0,0
H1C3,pre-1950,Unheated Basement,0,0,0,0,0
H1C3,1950s,Unheated Basement,0,0,0,0,0
H1C3,1960s,Unheated Basement,0,0,0,0,0
H1C3,1970s,Unheated Basement,0,0,0,0,0
H1C3,1980s,Unheated Basement,0,0,0,0,0
H1C3,1990s,Unheated Basement,0,0,0,0,0
H1C3,2000s,Unheated Basement,0,0,0,0,0
H1C3,2010s,Unheated Basement,0,0,0,0,0
H2,pre-1950,Unheated Basement,0.0,0.0,0.0,1.0,7
H2,1950s,Unheated Basement,0.0,0.0,0.0,1.0,11
H2,1960s,Unheated Basement,0.0,0.0,0.0,1.0,2
H2,1970s,Unheated Basement,0,0,0,0,0
H2,1980s,Unheated Basement,0,0,0,0,0
H2,1990s,Unheated Basement,0,0,0,0,0
H2,2000s,Unheated Basement,0,0,0,0,0
H2,2010s,Unheated Basement,0.0,0.5,0.25,0.25,4
H3,pre-1950,Unheated Basement,0.0,1.0,0.0,0.0,2
H3,1950s,Unheated Basement,0,0,0,0,0
H3,1960s,Unheated Basement,0.0,0.0,0.3333333333333333,0.6666666666666666,12
H3,1970s,Unheated Basement,0,0,0,0,0
H3,1980s,Unheated Basement,0.0,0.2,0.0,0.8,5
H3,1990s,Unheated Basement,0,0,0,0,0
H3,2000s,Unheated Basement,0.0,1.0,0.0,0.0,1
H3,2010s,Unheated Basement,0,0,0,0,0
H1C1 OR,pre-1950,Heated Basement,1.0,0.0,0.0,0.0,7
