Dependency=Vintage,Dependency=Geometry House Size,Dependency=Geometry Foundation Type,Option=1,Option=2,Option=3+
1950s,0-1499,crawl,0.896634033139,0.103365966861,0.0
1950s,0-1499,slab,0.896634033139,0.103365966861,0.0
1950s,0-1499,unheated basement,0.896634033139,0.103365966861,0.0
1950s,0-1499,heated basement,0.529651285642,0.470348714358,0.0
1950s,1500-2499,crawl,0.872589471762,0.115722962217,0.0116875660216
1950s,1500-2499,slab,0.872589471762,0.115722962217,0.0116875660216
1950s,1500-2499,unheated basement,0.872589471762,0.115722962217,0.0116875660216
1950s,1500-2499,heated basement,0.705819500703,0.278380123529,0.0158003757683
1950s,2500-3499,crawl,0.617733453524,0.382266546476,0.0
1950s,2500-3499,slab,0.617733453524,0.382266546476,0.0
1950s,2500-3499,heated basement,0.790520162517,0.209479837483,0.0
1950s,3500-4499,crawl,0.344737942319,0.655262057681,0.0
1950s,3500-4499,unheated basement,0.344737942319,0.655262057681,0.0
1950s,3500-4499,heated basement,0.591899540617,0.408100459383,0.0
1960s,0-1499,crawl,0.926517072177,0.0734829278227,0.0
1960s,0-1499,slab,0.926517072177,0.0734829278227,0.0
1960s,0-1499,unheated basement,0.926517072177,0.0734829278227,0.0
1960s,0-1499,heated basement,1.0,0.0,0.0
1960s,1500-2499,crawl,0.729358441009,0.220145078332,0.0504964806596
1960s,1500-2499,slab,0.729358441009,0.220145078332,0.0504964806596
1960s,1500-2499,unheated basement,0.729358441009,0.220145078332,0.0504964806596
1960s,1500-2499,heated basement,0.446536880102,0.508697617954,0.0447655019443
1960s,2500-3499,crawl,0.845700020796,0.154299979204,0.0
1960s,2500-3499,slab,0.845700020796,0.154299979204,0.0
1960s,2500-3499,unheated basement,0.845700020796,0.154299979204,0.0
1960s,2500-3499,heated basement,0.711713380267,0.288286619733,0.0
1960s,3500-4499,crawl,0.553153154778,0.446846845222,0.0
1960s,3500-4499,heated basement,0.714169118266,0.285830881734,0.0
1960s,4500+,heated basement,1.0,0.0,0.0
1970s,0-1499,crawl,0.906967516825,0.0930324831748,0.0
1970s,0-1499,slab,0.906967516825,0.0930324831748,0.0
1970s,0-1499,heated basement,0.0,1.0,0.0
1970s,1500-2499,crawl,0.728450728843,0.271549271157,0.0
1970s,1500-2499,slab,0.728450728843,0.271549271157,0.0
1970s,1500-2499,heated basement,0.489095836884,0.510904163116,0.0
1970s,2500-3499,crawl,0.299582973521,0.500915928261,0.199501098218
1970s,2500-3499,slab,0.299582973521,0.500915928261,0.199501098218
1970s,2500-3499,heated basement,0.40534169687,0.557074977623,0.0375833255071
1970s,3500-4499,crawl,0.0,1.0,0.0
1970s,3500-4499,heated basement,0.550660010894,0.132825316627,0.316514672479
1970s,4500+,heated basement,1.0,0.0,0.0
1980s,0-1499,crawl,0.910148935479,0.0898510645211,0.0
