Dependency=Vintage,Dependency=Geometry House Size,Option=10 ACH50,Option=15 ACH50,Option=2 ACH50,Option=20 ACH50,Option=25 ACH50,Option=4 ACH50,Option=6 ACH50,Option=8 ACH50,# Samples
1950s,0-1499,0.2839506172839506,0.4691358024691358,0.0,0.14074074074074075,0.06419753086419754,0.0,0.04197530864197531,0.0,405
1950s,1500-2499,0.28501228501228504,0.02457002457002457,0.0171990171990172,0.11302211302211303,0.0687960687960688,0.17444717444717445,0.28501228501228504,0.03194103194103194,407
1950s,2500-3499,0.19014084507042253,0.176056338028169,0.0,0.0,0.0,0.34507042253521125,0.2887323943661972,0.0,142
1950s,3500-4499,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
1960s,0-1499,0.41647597254004576,0.08695652173913043,0.0,0.2608695652173913,0.07780320366132723,0.0,0.034324942791762014,0.12356979405034325,437
1960s,1500-2499,0.309328968903437,0.132569558101473,0.0,0.13584288052373159,0.0,0.06710310965630115,0.0,0.35515548281505727,611
1960s,2500-3499,0.17467248908296942,0.0,0.0,0.13973799126637554,0.0,0.013100436681222707,0.0,0.6724890829694323,229
1960s,3500-4499,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,63
1970s,0-1499,0.2804878048780488,0.25609756097560976,0.0,0.04878048780487805,0.022357723577235773,0.06707317073170732,0.14634146341463414,0.17886178861788618,492
1970s,1500-2499,0.3337893296853625,0.06566347469220246,0.027359781121751026,0.04240766073871409,0.04514363885088919,0.0506155950752394,0.1381668946648427,0.2968536251709986,731
1970s,2500-3499,0.14092140921409213,0.0,0.0,0.0,0.0,0.4146341463414634,0.4444444444444444,0.0,369
1970s,3500-4499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42
1970s,4500+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19
1980s,0-1499,0.17424242424242425,0.04924242424242424,0.0,0.0,0.06818181818181818,0.0,0.45454545454545453,0.2537878787878788,264
1980s,1500-2499,0.11087420042643924,0.0,0.0,0.04904051172707889,0.10021321961620469,0.2622601279317697,0.2302771855010661,0.24733475479744135,469
1980s,2500-3499,0.22821576763485477,0.17842323651452283,0.07883817427385892,0.0,0.0,0.03319502074688797,0.48132780082987553,0.0,241
1980s,3500-4499,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,48
1980s,4500+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15
1990s,0-1499,0.44200626959247646,0.30407523510971785,0.0,0.0,0.0,0.034482758620689655,0.0,0.219435736677116,319
1990s,1500-2499,0.13937282229965156,0.0,0.05574912891986063,0.0,0.0,0.0627177700348432,0.14285714285714285,0.5993031358885017,574
1990s,2500-3499,0.6254681647940075,0.0,0.033707865168539325,0.0,0.0,0.15730337078651685,0.14232209737827714,0.04119850187265917,267
1990s,3500-4499,0.0,0.28289473684210525,0.019736842105263157,0.0,0.0,0.2894736842105263,0.3881578947368421,0.019736842105263157,152
1990s,4500+,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33
2000s,0-1499,0.125,0.0,0.12946428571428573,0.0,0.12946428571428573,0.14732142857142858,0.18303571428571427,0.2857142857142857,224
2000s,1500-2499,0.14499252615844543,0.05530642750373692,0.0,0.01046337817638266,0.0,0.20478325859491778,0.3452914798206278,0.23916292974588937,669
2000s,2500-3499,0.0,0.35127478753541075,0.10764872521246459,0.0,0.0,0.36827195467422097,0.17280453257790368,0.0,353
2000s,3500-4499,0.0,0.0,0.0,0.0,0.0,0.1875,0.4270833333333333,0.3854166666666667,96
2000s,4500+,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21
pre-1950,0-1499,0.05018359853121175,0.3929008567931457,0.0,0.23990208078335373,0.2692778457772338,0.0,0.0,0.04773561811505508,817
pre-1950,1500-2499,0.22440537745604963,0.33815925542916236,0.0,0.07755946225439504,0.009307135470527405,0.07238883143743537,0.15098241985522234,0.12719751809720786,967
pre-1950,2500-3499,0.2636103151862464,0.12034383954154727,0.0,0.2693409742120344,0.0,0.0,0.2148997134670487,0.1318051575931232,349
pre-1950,3500-4499,0.3945578231292517,0.013605442176870748,0.0,0.0,0.0,0.10884353741496598,0.0,0.48299319727891155,147
pre-1950,4500+,0,0,0,0,0,0,0,0,0
1950s,4500+,0,0,0,0,0,0,0,0,0
1960s,4500+,0.0,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,12
