Dependency=Usage Level,"Option=318 Rated kWh, 80% Usage","Option=318 Rated kWh, 100% Usage","Option=318 Rated kWh, 120% Usage","Option=290 Rated kWh, 80% Usage","Option=290 Rated kWh, 100% Usage","Option=290 Rated kWh, 120% Usage",# Samples
Low,0.3604,0.0,0.0,0.6396,0.0,0.0,2500
Medium,0.0,0.3562,0.0,0.0,0.6438,0.0,5000
High,0.0,0.0,0.3672,0.0,0.0,0.6328,2500
Average,0,0,0,0,0,0,0
