Dependency=Location Region,Dependency=Vintage,Dependency=Heating Fuel,Option=No,Option=Yes,# Samples
H1C1 OR,1950s,Electricity,0.4,0.6,5
H1C1 OR,1950s,Fuel Oil,0,0,0
H1C1 OR,1950s,Natural Gas,1.0,0.0,10
H1C1 OR,1950s,Other Fuel,1.0,0.0,2
H1C1 OR,1960s,Electricity,0.75,0.25,12
H1C1 OR,1960s,Fuel Oil,0,0,0
H1C1 OR,1960s,Natural Gas,1.0,0.0,13
H1C1 OR,1960s,Other Fuel,0,0,0
H1C1 OR,1970s,Electricity,0.4666666666666667,0.5333333333333333,15
H1C1 OR,1970s,Natural Gas,1.0,0.0,6
H1C1 OR,1970s,Other Fuel,0,0,0
H1C1 OR,1980s,Electricity,0.0,1.0,2
H1C1 OR,1980s,Natural Gas,1.0,0.0,5
H1C1 OR,1980s,Other Fuel,1.0,0.0,1
H1C1 OR,1990s,Electricity,0.8571428571428571,0.14285714285714285,7
H1C1 OR,1990s,Fuel Oil,0,0,0
H1C1 OR,1990s,Natural Gas,1.0,0.0,20
H1C1 OR,1990s,Other Fuel,1.0,0.0,1
H1C1 OR,2000s,Electricity,0.3333333333333333,0.6666666666666666,6
H1C1 OR,2000s,Natural Gas,1.0,0.0,9
H1C1 OR,2000s,Other Fuel,0,0,0
H1C1 OR,pre-1950,Electricity,0.7333333333333333,0.26666666666666666,15
H1C1 OR,pre-1950,Fuel Oil,1.0,0.0,3
H1C1 OR,pre-1950,Natural Gas,1.0,0.0,4
H1C1 OR,pre-1950,Other Fuel,1.0,0.0,6
H1C1 WA,1950s,Electricity,1.0,0.0,11
H1C1 WA,1950s,Fuel Oil,1.0,0.0,6
H1C1 WA,1950s,Natural Gas,1.0,0.0,16
H1C1 WA,1950s,Other Fuel,1.0,0.0,3
H1C1 WA,1950s,Propane/LPG,1.0,0.0,1
H1C1 WA,1960s,Electricity,0.6470588235294118,0.35294117647058826,17
H1C1 WA,1960s,Fuel Oil,1.0,0.0,2
H1C1 WA,1960s,Natural Gas,1.0,0.0,40
H1C1 WA,1960s,None,0,0,0
H1C1 WA,1960s,Other Fuel,0,0,0
H1C1 WA,1970s,Electricity,0.6538461538461539,0.34615384615384615,26
H1C1 WA,1970s,Fuel Oil,1.0,0.0,2
H1C1 WA,1970s,Natural Gas,1.0,0.0,22
H1C1 WA,1970s,Other Fuel,1.0,0.0,8
H1C1 WA,1970s,Propane/LPG,1.0,0.0,1
H1C1 WA,1980s,Electricity,0.625,0.375,24
H1C1 WA,1980s,Natural Gas,1.0,0.0,17
H1C1 WA,1980s,Other Fuel,1.0,0.0,3
H1C1 WA,1980s,Propane/LPG,1.0,0.0,1
H1C1 WA,1990s,Electricity,0.6,0.4,10
H1C1 WA,1990s,Natural Gas,1.0,0.0,25
H1C1 WA,1990s,None,1.0,0.0,1
H1C1 WA,1990s,Other Fuel,1.0,0.0,5
H1C1 WA,2000s,Electricity,0.6,0.4,10
H1C1 WA,2000s,Natural Gas,1.0,0.0,32
H1C1 WA,2000s,Other Fuel,1.0,0.0,4
H1C1 WA,2000s,Propane/LPG,1.0,0.0,1
H1C1 WA,pre-1950,Electricity,0.9166666666666666,0.08333333333333333,24
H1C1 WA,pre-1950,Fuel Oil,1.0,0.0,10
H1C1 WA,pre-1950,Natural Gas,1.0,0.0,54
H1C1 WA,pre-1950,Other Fuel,1.0,0.0,5
H1C1 WA,pre-1950,Propane/LPG,1.0,0.0,5
H1C2,1950s,Electricity,0.0,1.0,3
H1C2,1950s,Natural Gas,1.0,0.0,8
H1C2,1950s,Propane/LPG,0,0,0
H1C2,1960s,Electricity,0.5,0.5,2
H1C2,1960s,Fuel Oil,0,0,0
H1C2,1960s,Natural Gas,1.0,0.0,24
H1C2,1960s,Other Fuel,1.0,0.0,1
H1C2,1970s,Electricity,0.7692307692307693,0.23076923076923078,13
H1C2,1970s,Natural Gas,1.0,0.0,1
H1C2,1970s,Other Fuel,1.0,0.0,1
H1C2,1980s,Electricity,1.0,0.0,6
H1C2,1980s,Natural Gas,1.0,0.0,9
H1C2,1980s,Other Fuel,1.0,0.0,1
H1C2,1990s,Electricity,0.0,1.0,2
H1C2,1990s,Natural Gas,1.0,0.0,1
H1C2,1990s,None,1.0,0.0,3
H1C2,1990s,Other Fuel,0,0,0
H1C2,2000s,Electricity,1.0,0.0,2
H1C2,2000s,Natural Gas,1.0,0.0,4
H1C2,pre-1950,Electricity,1.0,0.0,3
H1C2,pre-1950,Fuel Oil,1.0,0.0,7
H1C2,pre-1950,Natural Gas,1.0,0.0,23
H1C2,pre-1950,Other Fuel,1.0,0.0,7
H1C3,1950s,Electricity,1.0,0.0,1
H1C3,1950s,Natural Gas,1.0,0.0,3
H1C3,1950s,Other Fuel,0,0,0
H1C3,1960s,Electricity,0.0,1.0,4
H1C3,1960s,Natural Gas,1.0,0.0,2
H1C3,1970s,Electricity,0.14285714285714285,0.8571428571428571,7
H1C3,1970s,Natural Gas,1.0,0.0,3
H1C3,1970s,None,1.0,0.0,2
H1C3,1970s,Other Fuel,1.0,0.0,1
H1C3,1980s,Electricity,1.0,0.0,8
H1C3,1980s,Natural Gas,1.0,0.0,3
H1C3,1980s,Other Fuel,1.0,0.0,1
H1C3,1990s,Electricity,0.0,1.0,4
H1C3,1990s,Natural Gas,1.0,0.0,8
H1C3,1990s,Other Fuel,1.0,0.0,5
H1C3,2000s,Electricity,0.25,0.75,4
H1C3,2000s,Natural Gas,1.0,0.0,15
H1C3,2000s,Other Fuel,1.0,0.0,4
