Dependency=Usage Level,"318 Rated kWh, 80% Usage","318 Rated kWh, 100% Usage","318 Rated kWh, 120% Usage","290 Rated kWh, 80% Usage","290 Rated kWh, 100% Usage","290 Rated kWh, 120% Usage"
Low,0.36,0,0,0.64,0,0
Medium,0,0.36,0,0,0.64,0
High,0,0,0.36,0,0,0.64
Average,0,0.36,0,0,0.64,0
