Dependency=Location Region,Dependency=Vintage,Dependency=Foundation Type,None,"Uninsulated, Vented","Uninsulated, Unvented","Wall R-13, Unvented","Ceiling R-13, Vented","Ceiling R-19, Vented","Ceiling R-30, Vented",# Samples
H1C1 OR,pre-1950,Crawl,0.0,0.44385026737967914,0.11764705882352941,0.0,0.11764705882352941,0.24598930481283424,0.0748663101604278,187
H1C1 OR,1950s,Crawl,0.0,0.04807692307692308,0.27884615384615385,0.0,0.028846153846153848,0.6346153846153846,0.009615384615384616,104
H1C1 OR,1960s,Crawl,0.0,0.2604166666666667,0.0625,0.0,0.10416666666666667,0.265625,0.3072916666666667,192
H1C1 OR,1970s,Crawl,0.0,0.16923076923076924,0.0,0.0,0.14358974358974358,0.38461538461538464,0.30256410256410254,195
H1C1 OR,1980s,Crawl,0.0,0.05154639175257732,0.1958762886597938,0.0,0.3402061855670103,0.41237113402061853,0.0,97
H1C1 OR,1990s,Crawl,0.0,0.0,0.0446927374301676,0.0,0.0,0.7597765363128491,0.19553072625698323,179
H1C1 OR,2000s,Crawl,0.0,0.0,0.0,0.06369426751592357,0.0,0.37579617834394907,0.5605095541401274,157
H1C1 OR,2010s,Crawl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19
H1C1 WA,pre-1950,Crawl,0.0,0.1741472172351885,0.0843806104129264,0.0,0.2710951526032316,0.42010771992818674,0.05026929982046679,557
H1C1 WA,1950s,Crawl,0.0,0.2925764192139738,0.18777292576419213,0.0,0.13100436681222707,0.32751091703056767,0.0611353711790393,229
H1C1 WA,1960s,Crawl,0.0,0.1908831908831909,0.14245014245014245,0.0,0.21652421652421652,0.396011396011396,0.05413105413105413,351
H1C1 WA,1970s,Crawl,0.0,0.19801980198019803,0.06683168316831684,0.0,0.2079207920792079,0.43564356435643564,0.09158415841584158,404
H1C1 WA,1980s,Crawl,0.0,0.031746031746031744,0.07142857142857142,0.0,0.19576719576719576,0.6878306878306878,0.013227513227513227,378
H1C1 WA,1990s,Crawl,0.0,0.03625377643504532,0.0,0.0,0.03927492447129909,0.6253776435045317,0.2990936555891239,331
H1C1 WA,2000s,Crawl,0.0,0.06493506493506493,0.0025974025974025974,0.0,0.0,0.4857142857142857,0.44675324675324674,385
H1C1 WA,2010s,Crawl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14
H1C2,pre-1950,Crawl,0.0,0.18620689655172415,0.4,0.0,0.006896551724137931,0.4068965517241379,0.0,145
H1C2,1950s,Crawl,0.0,0.0,0.37142857142857144,0.0,0.0,0.6285714285714286,0.0,70
H1C2,1960s,Crawl,0.0,0.3173076923076923,0.16826923076923078,0.0,0.0,0.4230769230769231,0.09134615384615384,208
H1C2,1970s,Crawl,0.0,0.0,0.1188118811881188,0.0,0.0891089108910891,0.04950495049504951,0.7425742574257426,101
H1C2,1980s,Crawl,0.0,0.007142857142857143,0.35,0.3142857142857143,0.0,0.32857142857142857,0.0,140
H1C2,1990s,Crawl,0.0,0.0,0.0,0.0,0.0,0.5348837209302325,0.46511627906976744,86
H1C2,2000s,Crawl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28
H1C2,2010s,Crawl,0,0,0,0,0,0,0,0
H1C3,pre-1950,Crawl,0.0,0.26666666666666666,0.31666666666666665,0.0,0.3,0.11666666666666667,0.0,60
H1C3,1950s,Crawl,0.0,0.0,0.4,0.0,0.04,0.56,0.0,50
H1C3,1960s,Crawl,0.0,0.01818181818181818,0.5272727272727272,0.0,0.0,0.16363636363636364,0.2909090909090909,55
H1C3,1970s,Crawl,0.0,0.3472222222222222,0.0,0.06944444444444445,0.0,0.4722222222222222,0.1111111111111111,72
H1C3,1980s,Crawl,0.0,0.0,0.56,0.0,0.0,0.44,0.0,25
H1C3,1990s,Crawl,0.0,0.0,0.3220338983050847,0.09322033898305085,0.0,0.5508474576271186,0.03389830508474576,118
H1C3,2000s,Crawl,0.0,0.0,0.024390243902439025,0.0,0.11707317073170732,0.32195121951219513,0.5365853658536586,205
H1C3,2010s,Crawl,0,0,0,0,0,0,0,0
H2,pre-1950,Crawl,0.0,0.5027624309392266,0.143646408839779,0.055248618784530384,0.11602209944751381,0.1270718232044199,0.055248618784530384,181
H2,1950s,Crawl,0.0,0.0847457627118644,0.711864406779661,0.0,0.0,0.15254237288135594,0.05084745762711865,59
H2,1960s,Crawl,0.0,0.017857142857142856,0.07142857142857142,0.017857142857142856,0.7678571428571429,0.125,0.0,56
H2,1970s,Crawl,0.0,0.06862745098039216,0.5686274509803921,0.058823529411764705,0.049019607843137254,0.19607843137254902,0.058823529411764705,102
H2,1980s,Crawl,0.0,0.12962962962962962,0.5555555555555556,0.018518518518518517,0.12962962962962962,0.16666666666666666,0.0,54
H2,1990s,Crawl,0.0,0.014388489208633094,0.02877697841726619,0.20863309352517986,0.014388489208633094,0.17266187050359713,0.5611510791366906,139
H2,2000s,Crawl,0.0,0.0,0.17088607594936708,0.10759493670886076,0.0,0.17721518987341772,0.5443037974683544,158
H2,2010s,Crawl,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,0.0,14
H3,pre-1950,Crawl,0.0,0.07792207792207792,0.7402597402597403,0.0,0.0,0.16883116883116883,0.012987012987012988,77
H3,1950s,Crawl,0.0,0.0,0.875,0.0,0.125,0.0,0.0,16
H3,1960s,Crawl,0.0,0.0,0.5217391304347826,0.0,0.08695652173913043,0.391304347826087,0.0,23
H3,1970s,Crawl,0.0,0.0,0.23684210526315788,0.02631578947368421,0.5789473684210527,0.15789473684210525,0.0,38
H3,1980s,Crawl,0.0,0.0,0.4473684210526316,0.3684210526315789,0.0,0.07894736842105263,0.10526315789473684,38
H3,1990s,Crawl,0.0,0.0,0.4727272727272727,0.10909090909090909,0.0,0.3090909090909091,0.10909090909090909,55
H3,2000s,Crawl,0.0,0.02,0.54,0.34,0.0,0.1,0.0,50
