Dependency=Location Region,Dependency=Vintage,Dependency=Geometry Foundation Type,"Option=4ft R5 Perimeter, R5 Gap",Option=None,"Option=R10 Whole Slab, R5 Gap",Option=Uninsulated,# Samples
H1C1 OR,1950s,Crawl,0.0,1.0,0.0,0.0,13
H1C1 OR,1950s,Slab,0.0,0.0,0.0,1.0,3
H1C1 OR,1960s,Crawl,0.0,1.0,0.0,0.0,18
H1C1 OR,1960s,Heated Basement,0.0,1.0,0.0,0.0,4
H1C1 OR,1960s,Slab,0.0,0.0,0.0,1.0,3
H1C1 OR,1970s,Crawl,0.0,1.0,0.0,0.0,17
H1C1 OR,1970s,Heated Basement,0.0,1.0,0.0,0.0,3
H1C1 OR,1970s,Slab,0.0,0.0,0.0,1.0,1
H1C1 OR,1980s,Slab,1.0,0.0,0.0,0.0,1
H1C1 OR,1990s,Crawl,0.0,1.0,0.0,0.0,21
H1C1 OR,1990s,Heated Basement,0.0,1.0,0.0,0.0,6
H1C1 OR,1990s,Slab,0.0,0.0,1.0,0.0,1
H1C1 OR,2000s,Crawl,0.0,1.0,0.0,0.0,11
H1C1 OR,2000s,Slab,0.0,0.0,0.0,1.0,2
H1C1 OR,pre-1950,Crawl,0.0,1.0,0.0,0.0,26
H1C1 OR,pre-1950,Slab,0.0,0.0,0.0,1.0,2
H1C1 WA,1950s,Crawl,0.0,1.0,0.0,0.0,25
H1C1 WA,1950s,Heated Basement,0.0,1.0,0.0,0.0,8
H1C1 WA,1950s,Slab,0.0,0.0,0.0,1.0,4
H1C1 WA,1960s,Crawl,0.0,1.0,0.0,0.0,37
H1C1 WA,1960s,Heated Basement,0.0,1.0,0.0,0.0,17
H1C1 WA,1960s,Slab,0.0,0.0,0.0,1.0,5
H1C1 WA,1970s,Crawl,0.0,1.0,0.0,0.0,42
H1C1 WA,1970s,Heated Basement,0.0,1.0,0.0,0.0,12
H1C1 WA,1970s,Slab,0.0,0.0,0.0,1.0,5
H1C1 WA,1980s,Crawl,0.0,1.0,0.0,0.0,31
H1C1 WA,1980s,Heated Basement,0.0,1.0,0.0,0.0,8
H1C1 WA,1980s,Slab,0.0,0.0,0.3333333333333333,0.6666666666666666,6
H1C1 WA,1990s,Crawl,0.0,1.0,0.0,0.0,36
H1C1 WA,1990s,Slab,0.0,0.0,0.0,1.0,1
H1C1 WA,2000s,Crawl,0.0,1.0,0.0,0.0,36
H1C1 WA,2000s,Slab,0.0,0.0,0.625,0.375,8
H1C1 WA,pre-1950,Crawl,0.0,1.0,0.0,0.0,57
H1C1 WA,pre-1950,Heated Basement,0.0,1.0,0.0,0.0,30
