Dependency=Vintage,Dependency=Geometry House Size,Dependency=Geometry Foundation Type,Option=1,Option=2,Option=3+,# Samples
1950s,0-1499,Crawl,0.869198312236287,0.1308016877637131,0.0,237
1950s,0-1499,Heated Basement,0.5575221238938053,0.4424778761061947,0.0,113
1950s,0-1499,Slab,1.0,0.0,0.0,47
1950s,0-1499,Unheated Basement,1.0,0.0,0.0,8
1950s,1500-2499,Crawl,0.9155555555555556,0.07111111111111111,0.013333333333333334,225
1950s,1500-2499,Heated Basement,0.7,0.2692307692307692,0.03076923076923077,130
1950s,1500-2499,Slab,0.8163265306122449,0.1836734693877551,0.0,49
1950s,1500-2499,Unheated Basement,1.0,0.0,0.0,3
1950s,2500-3499,Crawl,0.7777777777777778,0.2222222222222222,0.0,54
1950s,2500-3499,Heated Basement,0.7681159420289855,0.2318840579710145,0.0,69
1950s,2500-3499,Slab,0.0,1.0,0.0,18
1950s,3500-4499,Crawl,0.6666666666666666,0.3333333333333333,0.0,9
1950s,3500-4499,Heated Basement,0.6666666666666666,0.3333333333333333,0.0,6
1950s,3500-4499,Unheated Basement,0,0,0,0
1960s,0-1499,Crawl,0.9072164948453608,0.09278350515463918,0.0,291
1960s,0-1499,Heated Basement,1.0,0.0,0.0,104
1960s,0-1499,Slab,1.0,0.0,0.0,40
1960s,0-1499,Unheated Basement,1.0,0.0,0.0,2
1960s,1500-2499,Crawl,0.7124352331606217,0.25129533678756477,0.03626943005181347,386
1960s,1500-2499,Heated Basement,0.44370860927152317,0.5165562913907285,0.039735099337748346,151
1960s,1500-2499,Slab,0.6268656716417911,0.23880597014925373,0.13432835820895522,67
1960s,1500-2499,Unheated Basement,1.0,0.0,0.0,7
1960s,2500-3499,Crawl,0.8590604026845637,0.14093959731543623,0.0,149
1960s,2500-3499,Heated Basement,0.6507936507936508,0.3492063492063492,0.0,63
1960s,2500-3499,Slab,1.0,0.0,0.0,17
1960s,2500-3499,Unheated Basement,0,0,0,0
1960s,3500-4499,Crawl,0.5384615384615384,0.46153846153846156,0.0,39
1960s,3500-4499,Heated Basement,0.5714285714285714,0.42857142857142855,0.0,14
1960s,4500+,Heated Basement,1.0,0.0,0.0,4
1970s,0-1499,Crawl,0.8870967741935484,0.11290322580645161,0.0,310
1970s,0-1499,Heated Basement,0.0,1.0,0.0,140
1970s,0-1499,Slab,1.0,0.0,0.0,42
1970s,1500-2499,Crawl,0.7797752808988764,0.2202247191011236,0.0,445
1970s,1500-2499,Heated Basement,0.4492753623188406,0.5507246376811594,0.0,207
1970s,1500-2499,Slab,0.6835443037974683,0.31645569620253167,0.0,79
1970s,2500-3499,Crawl,0.4823529411764706,0.48823529411764705,0.029411764705882353,170
1970s,2500-3499,Heated Basement,0.44642857142857145,0.5357142857142857,0.017857142857142856,168
1970s,2500-3499,Slab,0.12903225806451613,0.4838709677419355,0.3870967741935484,31
1970s,3500-4499,Crawl,0.0,1.0,0.0,27
1970s,3500-4499,Heated Basement,0.5714285714285714,0.07142857142857142,0.35714285714285715,14
1970s,4500+,Heated Basement,1.0,0.0,0.0,8
1980s,0-1499,Crawl,0.8691099476439791,0.13089005235602094,0.0,191
1980s,0-1499,Heated Basement,0.0,1.0,0.0,36
1980s,0-1499,Slab,0.9117647058823529,0.08823529411764706,0.0,34
1980s,1500-2499,Crawl,0.65625,0.340625,0.003125,320
1980s,1500-2499,Heated Basement,0.6309523809523809,0.19047619047619047,0.17857142857142858,84
1980s,1500-2499,Slab,0.543859649122807,0.45614035087719296,0.0,57
1980s,1500-2499,Unheated Basement,0.375,0.625,0.0,8
1980s,2500-3499,Crawl,0.0,0.9363057324840764,0.06369426751592357,157
1980s,2500-3499,Heated Basement,0.16666666666666666,0.8166666666666667,0.016666666666666666,60
1980s,2500-3499,Slab,0.0,1.0,0.0,16
1980s,2500-3499,Unheated Basement,0.0,1.0,0.0,8
1980s,3500-4499,Crawl,0.0,1.0,0.0,33
1980s,3500-4499,Heated Basement,0.1111111111111111,0.5555555555555556,0.3333333333333333,9
1980s,3500-4499,Slab,0.0,1.0,0.0,6
1990s,0-1499,Crawl,0.9730941704035875,0.0,0.026905829596412557,223
1990s,0-1499,Heated Basement,0.0,0.0,1.0,64
1990s,0-1499,Slab,0.5,0.5,0.0,32
1990s,1500-2499,Crawl,0.6004901960784313,0.39950980392156865,0.0,408
1990s,1500-2499,Heated Basement,0.2857142857142857,0.7142857142857143,0.0,112
