Dependency=Location Region,Dependency=Vintage,Dependency=Heating Fuel,Option=No,Option=Yes
H1C1 OR,1950s,Electricity,0.601717255028,0.398282744972
H1C1 OR,1950s,Fuel Oil,1.0,0.0
H1C1 OR,1950s,Natural Gas,1.0,0.0
H1C1 OR,1950s,Other Fuel,1.0,0.0
H1C1 OR,1960s,Electricity,0.697526341194,0.302473658806
H1C1 OR,1960s,Fuel Oil,1.0,0.0
H1C1 OR,1960s,Natural Gas,1.0,0.0
H1C1 OR,1960s,Other Fuel,1.0,0.0
H1C1 OR,1970s,Electricity,0.44517806767,0.55482193233
H1C1 OR,1970s,Natural Gas,1.0,0.0
H1C1 OR,1970s,Other Fuel,1.0,0.0
H1C1 OR,1980s,Electricity,0.110674185448,0.889325814552
H1C1 OR,1980s,Natural Gas,1.0,0.0
H1C1 OR,1980s,Other Fuel,1.0,0.0
H1C1 OR,1990s,Electricity,0.62506955506,0.37493044494
H1C1 OR,1990s,Fuel Oil,1.0,0.0
H1C1 OR,1990s,Natural Gas,1.0,0.0
H1C1 OR,1990s,Other Fuel,1.0,0.0
H1C1 OR,2000s,Electricity,0.209940485717,0.790059514283
H1C1 OR,2000s,Natural Gas,1.0,0.0
H1C1 OR,2000s,Other Fuel,1.0,0.0
H1C1 OR,pre-1950,Electricity,0.702043007662,0.297956992338
H1C1 OR,pre-1950,Fuel Oil,1.0,0.0
H1C1 OR,pre-1950,Natural Gas,1.0,0.0
H1C1 OR,pre-1950,Other Fuel,1.0,0.0
H1C1 WA,1950s,Electricity,0.913295145509,0.0867048544915
H1C1 WA,1950s,Fuel Oil,1.0,0.0
H1C1 WA,1950s,Natural Gas,1.0,0.0
H1C1 WA,1950s,Other Fuel,1.0,0.0
H1C1 WA,1950s,Propane/LPG,1.0,0.0
H1C1 WA,1960s,Electricity,0.559548008192,0.440451991808
H1C1 WA,1960s,Fuel Oil,1.0,0.0
H1C1 WA,1960s,Natural Gas,1.0,0.0
H1C1 WA,1960s,None,1.0,0.0
H1C1 WA,1960s,Other Fuel,1.0,0.0
H1C1 WA,1970s,Electricity,0.603886595287,0.396113404713
H1C1 WA,1970s,Fuel Oil,1.0,0.0
H1C1 WA,1970s,Natural Gas,1.0,0.0
H1C1 WA,1970s,Other Fuel,1.0,0.0
H1C1 WA,1970s,Propane/LPG,1.0,0.0
H1C1 WA,1980s,Electricity,0.687205551234,0.312794448766
H1C1 WA,1980s,Natural Gas,1.0,0.0
H1C1 WA,1980s,Other Fuel,1.0,0.0
H1C1 WA,1980s,Propane/LPG,1.0,0.0
H1C1 WA,1990s,Electricity,0.641257583884,0.358742416116
H1C1 WA,1990s,Natural Gas,1.0,0.0
H1C1 WA,1990s,None,1.0,0.0
H1C1 WA,1990s,Other Fuel,1.0,0.0
H1C1 WA,2000s,Electricity,0.500637427982,0.499362572018
H1C1 WA,2000s,Natural Gas,1.0,0.0
H1C1 WA,2000s,Other Fuel,1.0,0.0
H1C1 WA,2000s,Propane/LPG,1.0,0.0
H1C1 WA,pre-1950,Electricity,0.906603619748,0.0933963802522
H1C1 WA,pre-1950,Fuel Oil,1.0,0.0
H1C1 WA,pre-1950,Natural Gas,1.0,0.0
H1C1 WA,pre-1950,Other Fuel,1.0,0.0
H1C1 WA,pre-1950,Propane/LPG,1.0,0.0
H1C2,1950s,Electricity,0.0,1.0
H1C2,1950s,Natural Gas,1.0,0.0
H1C2,1950s,Propane/LPG,1.0,0.0
H1C2,1960s,Electricity,0.163266897019,0.836733102981
H1C2,1960s,Fuel Oil,1.0,0.0
H1C2,1960s,Natural Gas,1.0,0.0
H1C2,1960s,Other Fuel,1.0,0.0
H1C2,1970s,Electricity,0.669056139304,0.330943860696
H1C2,1970s,Natural Gas,1.0,0.0
H1C2,1970s,Other Fuel,1.0,0.0
H1C2,1980s,Electricity,1.0,0.0
H1C2,1980s,Natural Gas,1.0,0.0
H1C2,1980s,Other Fuel,1.0,0.0
H1C2,1990s,Electricity,0.0,1.0
H1C2,1990s,Natural Gas,1.0,0.0
H1C2,1990s,None,1.0,0.0
H1C2,1990s,Other Fuel,1.0,0.0
H1C2,2000s,Electricity,1.0,0.0
H1C2,2000s,Natural Gas,1.0,0.0
H1C2,pre-1950,Electricity,1.0,0.0
H1C2,pre-1950,Fuel Oil,1.0,0.0
H1C2,pre-1950,Natural Gas,1.0,0.0
H1C2,pre-1950,Other Fuel,1.0,0.0
H1C3,1950s,Electricity,1.0,0.0
H1C3,1950s,Natural Gas,1.0,0.0
H1C3,1950s,Other Fuel,1.0,0.0
H1C3,1960s,Electricity,0.10476303432,0.89523696568
H1C3,1960s,Natural Gas,1.0,0.0
H1C3,1970s,Electricity,0.322286414146,0.677713585854
H1C3,1970s,Natural Gas,1.0,0.0
H1C3,1970s,None,1.0,0.0
H1C3,1970s,Other Fuel,1.0,0.0
H1C3,1980s,Electricity,1.0,0.0
H1C3,1980s,Natural Gas,1.0,0.0
H1C3,1980s,Other Fuel,1.0,0.0
H1C3,1990s,Electricity,0.489464036167,0.510535963833
H1C3,1990s,Natural Gas,1.0,0.0
H1C3,1990s,Other Fuel,1.0,0.0
H1C3,2000s,Electricity,0.166000168379,0.833999831621
H1C3,2000s,Natural Gas,1.0,0.0
H1C3,2000s,Other Fuel,1.0,0.0
H1C3,pre-1950,Electricity,0.698993325557,0.301006674443
H1C3,pre-1950,Fuel Oil,1.0,0.0
H1C3,pre-1950,Natural Gas,1.0,0.0
H2,1950s,Electricity,0.750753703383,0.249246296617
H2,1950s,Fuel Oil,1.0,0.0
H2,1950s,Natural Gas,1.0,0.0
H2,1950s,Other Fuel,1.0,0.0
H2,1960s,Electricity,1.0,0.0
H2,1960s,Natural Gas,1.0,0.0
H2,1960s,Other Fuel,1.0,0.0
H2,1970s,Electricity,0.879715611352,0.120284388648
H2,1970s,Natural Gas,1.0,0.0
H2,1970s,Other Fuel,1.0,0.0
H2,1970s,Propane/LPG,1.0,0.0
H2,1980s,Electricity,1.0,0.0
H2,1980s,Fuel Oil,1.0,0.0
H2,1980s,Natural Gas,1.0,0.0
H2,1980s,Other Fuel,1.0,0.0
H2,1990s,Electricity,0.454933965801,0.545066034199
H2,1990s,Natural Gas,1.0,0.0
H2,1990s,None,1.0,0.0
H2,1990s,Other Fuel,1.0,0.0
H2,2000s,Electricity,0.648434949122,0.351565050878
H2,2000s,Natural Gas,1.0,0.0
H2,2000s,Other Fuel,1.0,0.0
H2,2000s,Propane/LPG,1.0,0.0
H2,pre-1950,Electricity,0.719117948344,0.280882051656
H2,pre-1950,Fuel Oil,1.0,0.0
H2,pre-1950,Natural Gas,1.0,0.0
H2,pre-1950,Other Fuel,1.0,0.0
H3,1950s,Electricity,0.358813723543,0.641186276457
H3,1950s,Fuel Oil,1.0,0.0
H3,1950s,Natural Gas,1.0,0.0
H3,1950s,Other Fuel,1.0,0.0
H3,1960s,Electricity,1.0,0.0
H3,1960s,Fuel Oil,1.0,0.0
H3,1960s,Natural Gas,1.0,0.0
H3,1960s,Other Fuel,1.0,0.0
H3,1960s,Propane/LPG,1.0,0.0
H3,1970s,Electricity,1.0,0.0
H3,1970s,Natural Gas,1.0,0.0
H3,1970s,Other Fuel,1.0,0.0
H3,1970s,Propane/LPG,1.0,0.0
H3,1980s,Electricity,0.8414533981,0.1585466019
H3,1980s,Natural Gas,1.0,0.0
H3,1980s,Other Fuel,1.0,0.0
H3,1980s,Propane/LPG,1.0,0.0
H3,1990s,Electricity,0.774814227308,0.225185772692
H3,1990s,Natural Gas,1.0,0.0
H3,1990s,Other Fuel,1.0,0.0
H3,1990s,Propane/LPG,1.0,0.0
H3,2000s,Electricity,1.0,0.0
H3,2000s,Fuel Oil,1.0,0.0
H3,2000s,Natural Gas,1.0,0.0
