Dependency=Location Region,Dependency=Vintage,Dependency=Foundation Type,None,Uninsulated,"4ft R5 Perimeter, R5 Gap","R10 Whole Slab, R5 Gap"
H1C1 OR,pre-1950,Slab,0,1,0,0
H1C1 OR,1950s,Slab,0,1,0,0
H1C1 OR,1960s,Slab,0,1,0,0
H1C1 OR,1970s,Slab,0,1,0,0
H1C1 OR,1980s,Slab,0,0.058098592,0.941901408,0
H1C1 OR,1990s,Slab,0,0.822240357,0,0.177759643
H1C1 OR,2000s,Slab,0,1,0,0
H1C1 OR,2010s,Slab,0,1,0,0
H1C1 WA,pre-1950,Slab,0,0.972077095,0,0.027922905
H1C1 WA,1950s,Slab,0,1,0,0
H1C1 WA,1960s,Slab,0,0.871754714,0,0.128245286
H1C1 WA,1970s,Slab,0,0.944743614,0,0.055256386
H1C1 WA,1980s,Slab,0,0.556017397,0,0.443982603
H1C1 WA,1990s,Slab,0,0.915794023,0,0.084205977
H1C1 WA,2000s,Slab,0,0.322618381,0,0.677381619
H1C1 WA,2010s,Slab,0,0.333333333,0.333333333,0.333333333
H1C2,pre-1950,Slab,0,1,0,0
H1C2,1950s,Slab,0,1,0,0
H1C2,1960s,Slab,0,0,0,1
H1C2,1970s,Slab,0,1,0,0
H1C2,1980s,Slab,0,1,0,0
H1C2,1990s,Slab,0,1,0,0
H1C2,2000s,Slab,0,1,0,0
H1C2,2010s,Slab,0,0.333333333,0.333333333,0.333333333
H1C3,pre-1950,Slab,0,1,0,0
H1C3,1950s,Slab,0,1,0,0
H1C3,1960s,Slab,0,1,0,0
H1C3,1970s,Slab,0,1,0,0
H1C3,1980s,Slab,0,1,0,0
H1C3,1990s,Slab,0,1,0,0
H1C3,2000s,Slab,0,0.346802418,0.653197582,0
H1C3,2010s,Slab,0,0.333333333,0.333333333,0.333333333
H2,pre-1950,Slab,0,0.940711568,0,0.059288432
H2,1950s,Slab,0,0.904022922,0,0.095977078
H2,1960s,Slab,0,1,0,0
H2,1970s,Slab,0,1,0,0
H2,1980s,Slab,0,1,0,0
H2,1990s,Slab,0,0.54378662,0,0.45621338
H2,2000s,Slab,0,0.315549416,0,0.684450584
H2,2010s,Slab,0,1,0,0
H3,pre-1950,Slab,0,0.491431045,0,0.508568955
H3,1950s,Slab,0,0.71256828,0,0.28743172
H3,1960s,Slab,0,1,0,0
H3,1970s,Slab,0,1,0,0
H3,1980s,Slab,0,0,1,0
H3,1990s,Slab,0,0.681776666,0,0.318223334
H3,2000s,Slab,0,0.617506054,0,0.382493946
H3,2010s,Slab,0,1,0,0
H1C1 OR,pre-1950,Heated Basement,1,0,0,0
H1C1 OR,1950s,Heated Basement,1,0,0,0
H1C1 OR,1960s,Heated Basement,1,0,0,0
H1C1 OR,1970s,Heated Basement,1,0,0,0
H1C1 OR,1980s,Heated Basement,1,0,0,0
H1C1 OR,1990s,Heated Basement,1,0,0,0
H1C1 OR,2000s,Heated Basement,1,0,0,0
H1C1 OR,2010s,Heated Basement,1,0,0,0
H1C1 WA,pre-1950,Heated Basement,1,0,0,0
H1C1 WA,1950s,Heated Basement,1,0,0,0
H1C1 WA,1960s,Heated Basement,1,0,0,0
H1C1 WA,1970s,Heated Basement,1,0,0,0
H1C1 WA,1980s,Heated Basement,1,0,0,0
H1C1 WA,1990s,Heated Basement,1,0,0,0
H1C1 WA,2000s,Heated Basement,1,0,0,0
H1C1 WA,2010s,Heated Basement,1,0,0,0
H1C2,pre-1950,Heated Basement,1,0,0,0
H1C2,1950s,Heated Basement,1,0,0,0
H1C2,1960s,Heated Basement,1,0,0,0
H1C2,1970s,Heated Basement,1,0,0,0
H1C2,1980s,Heated Basement,1,0,0,0
H1C2,1990s,Heated Basement,1,0,0,0
H1C2,2000s,Heated Basement,1,0,0,0
H1C2,2010s,Heated Basement,1,0,0,0
H1C3,pre-1950,Heated Basement,1,0,0,0
H1C3,1950s,Heated Basement,1,0,0,0
H1C3,1960s,Heated Basement,1,0,0,0
H1C3,1970s,Heated Basement,1,0,0,0
H1C3,1980s,Heated Basement,1,0,0,0
H1C3,1990s,Heated Basement,1,0,0,0
H1C3,2000s,Heated Basement,1,0,0,0
H1C3,2010s,Heated Basement,1,0,0,0
H2,pre-1950,Heated Basement,1,0,0,0
H2,1950s,Heated Basement,1,0,0,0
H2,1960s,Heated Basement,1,0,0,0
H2,1970s,Heated Basement,1,0,0,0
H2,1980s,Heated Basement,1,0,0,0
H2,1990s,Heated Basement,1,0,0,0
H2,2000s,Heated Basement,1,0,0,0
H2,2010s,Heated Basement,1,0,0,0
H3,pre-1950,Heated Basement,1,0,0,0
H3,1950s,Heated Basement,1,0,0,0
H3,1960s,Heated Basement,1,0,0,0
H3,1970s,Heated Basement,1,0,0,0
H3,1980s,Heated Basement,1,0,0,0
H3,1990s,Heated Basement,1,0,0,0
H3,2000s,Heated Basement,1,0,0,0
H3,2010s,Heated Basement,1,0,0,0
