Dependency=Location Region,Dependency=Vintage,Option=Crawl,Option=Heated Basement,Option=Slab,Option=Unheated Basement,# Samples
H1C1 OR,1950s,0.7647058823529411,0.0,0.17647058823529413,0.058823529411764705,17
H1C1 OR,1960s,0.72,0.16,0.12,0.0,25
H1C1 OR,1970s,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,21
H1C1 OR,1980s,0.875,0.0,0.125,0.0,8
H1C1 OR,1990s,0.75,0.21428571428571427,0.03571428571428571,0.0,28
H1C1 OR,2000s,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.0,15
H1C1 OR,pre-1950,0.9285714285714286,0.0,0.07142857142857142,0.0,28
H1C1 WA,1950s,0.6756756756756757,0.21621621621621623,0.10810810810810811,0.0,37
H1C1 WA,1960s,0.6271186440677966,0.288135593220339,0.0847457627118644,0.0,59
H1C1 WA,1970s,0.711864406779661,0.2033898305084746,0.0847457627118644,0.0,59
H1C1 WA,1980s,0.6888888888888889,0.17777777777777778,0.13333333333333333,0.0,45
H1C1 WA,1990s,0.8780487804878049,0.0975609756097561,0.024390243902439025,0.0,41
H1C1 WA,2000s,0.7659574468085106,0.0,0.1702127659574468,0.06382978723404255,47
H1C1 WA,pre-1950,0.5816326530612245,0.30612244897959184,0.07142857142857142,0.04081632653061224,98
H1C2,1950s,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,11
H1C2,1960s,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,27
H1C2,1970s,0.4666666666666667,0.4,0.13333333333333333,0.0,15
H1C2,1980s,0.8125,0.0,0.1875,0.0,16
H1C2,1990s,0.8333333333333334,0.16666666666666666,0.0,0.0,6
H1C2,2000s,0.16666666666666666,0.8333333333333334,0.0,0.0,6
H1C2,pre-1950,0.375,0.525,0.075,0.025,40
H1C3,1950s,0.25,0.5,0.25,0.0,4
H1C3,1960s,1.0,0.0,0.0,0.0,6
H1C3,1970s,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.0,13
H1C3,1980s,0.4166666666666667,0.3333333333333333,0.25,0.0,12
H1C3,1990s,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.0,17
H1C3,2000s,0.8260869565217391,0.13043478260869565,0.043478260869565216,0.0,23
H1C3,pre-1950,1.0,0.0,0.0,0.0,8
H2,1950s,0.20833333333333334,0.6666666666666666,0.125,0.0,24
H2,1960s,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,7
H2,1970s,0.34615384615384615,0.5384615384615384,0.11538461538461539,0.0,26
H2,1980s,0.8,0.0,0.2,0.0,10
H2,1990s,0.47058823529411764,0.4411764705882353,0.08823529411764706,0.0,34
H2,2000s,0.6,0.24,0.16,0.0,25
H2,pre-1950,0.6451612903225806,0.3225806451612903,0.03225806451612903,0.0,31
H3,1950s,0.14285714285714285,0.8571428571428571,0.0,0.0,7
H3,1960s,0.2222222222222222,0.6666666666666666,0.0,0.1111111111111111,9
H3,1970s,0.25,0.5625,0.1875,0.0,16
H3,1980s,0.3333333333333333,0.6666666666666666,0.0,0.0,6
H3,1990s,0.6,0.3,0.1,0.0,10
H3,2000s,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.0,13
H3,pre-1950,0.3888888888888889,0.6111111111111112,0.0,0.0,18
