Dependency=Location Region,USA_OR_Portland.Intl.AP.726980_TMY3.epw,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw,USA_OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880_TMY3.epw,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,USA_MT_Missoula.Intl.AP.727730_TMY3.epw
H1C1 OR,1,0,0,0,0,0
H1C1 WA,0,1,0,0,0,0
H1C2,0,0,1,0,0,0
H1C3,0,0,0,1,0,0
H2,0,0,0,0,1,0
H3,0,0,0,0,0,1
