Dependency=Location Region,Dependency=Vintage,Uninsulated,R-13,R-19,# Samples
H1C1 OR,pre-1950,0.3577981651376147,0.6422018348623854,0.0,218
H1C1 OR,1950s,0.3153846153846154,0.3230769230769231,0.36153846153846153,130
H1C1 OR,1960s,0.8715953307392996,0.12840466926070038,0.0,257
H1C1 OR,1970s,0.84375,0.15625,0.0,256
H1C1 OR,1980s,0.0,0.6363636363636364,0.36363636363636365,132
H1C1 OR,1990s,0.2289156626506024,0.40562248995983935,0.3654618473895582,249
H1C1 OR,2000s,0.0,0.5847953216374269,0.4152046783625731,171
H1C1 OR,2010s,0.0,0.0,1.0,38
H1C1 WA,pre-1950,0.47539370078740156,0.4153543307086614,0.10925196850393701,1016
H1C1 WA,1950s,0.46814404432132967,0.3878116343490305,0.1440443213296399,361
H1C1 WA,1960s,0.23374340949033393,0.5272407732864675,0.2390158172231986,569
H1C1 WA,1970s,0.22410865874363328,0.5212224108658744,0.2546689303904924,589
H1C1 WA,1980s,0.027079303675048357,0.4526112185686654,0.5203094777562862,517
H1C1 WA,1990s,0.0,0.05221932114882506,0.9477806788511749,383
H1C1 WA,2000s,0.0,0.20212765957446807,0.7978723404255319,470
H1C1 WA,2010s,0.0,1.0,0.0,14
H1C2,pre-1950,0.31002331002331,0.317016317016317,0.372960372960373,429
H1C2,1950s,0.36904761904761907,0.35714285714285715,0.27380952380952384,84
H1C2,1960s,0.31316725978647686,0.29537366548042704,0.3914590747330961,281
H1C2,1970s,0.38461538461538464,0.2958579881656805,0.31952662721893493,169
H1C2,1980s,0.0,0.592814371257485,0.40718562874251496,167
H1C2,1990s,0.23636363636363636,0.32727272727272727,0.43636363636363634,110
H1C2,2000s,0.0,0.0,1.0,58
H1C2,2010s,0,0,0,0
H1C3,pre-1950,1.0,0.0,0.0,106
H1C3,1950s,0.0,0.67,0.33,100
H1C3,1960s,0.2982456140350877,0.3684210526315789,0.3333333333333333,57
H1C3,1970s,0.48633879781420764,0.33879781420765026,0.17486338797814208,183
H1C3,1980s,0.32857142857142857,0.4,0.2714285714285714,70
H1C3,1990s,0.0,1.0,0.0,138
H1C3,2000s,0.0,0.6245487364620939,0.37545126353790614,277
H1C3,2010s,0,0,0,0
H2,pre-1950,0.5566666666666666,0.0,0.44333333333333336,300
H2,1950s,0.954337899543379,0.0,0.045662100456621,219
H2,1960s,0.0,0.0,1.0,99
H2,1970s,0.3713235294117647,0.33088235294117646,0.2977941176470588,272
H2,1980s,0.2826086956521739,0.0,0.717391304347826,92
H2,1990s,0.27988338192419826,0.49271137026239065,0.22740524781341107,343
H2,2000s,0.0,0.19844357976653695,0.8015564202334631,257
H2,2010s,1.0,0.0,0.0,26
H3,pre-1950,0.3224043715846995,0.37158469945355194,0.30601092896174864,183
H3,1950s,0.0,0.0,1.0,80
H3,1960s,0.37894736842105264,0.3157894736842105,0.30526315789473685,95
H3,1970s,0.0,0.0,1.0,147
H3,1980s,0.3924050632911392,0.31645569620253167,0.2911392405063291,79
H3,1990s,0.3302752293577982,0.3853211009174312,0.28440366972477066,109
H3,2000s,0.25287356321839083,0.3103448275862069,0.4367816091954023,87
H3,2010s,0.3076923076923077,0.3076923076923077,0.38461538461538464,13
